date,game_time,away_team,home_team,fav,spread,total,team,opp,home_away,position,player,status
2025-11-18,7:00 PM ET,GSW,ORL,GSW,4.0,223.5,GSW,ORL,A,PG,Stephen Curry,
2025-11-18,7:00 PM ET,GSW,ORL,GSW,4.0,223.5,ORL,GSW,H,PG,Jalen Suggs,Q
2025-11-18,7:00 PM ET,GSW,ORL,GSW,4.0,223.5,GSW,ORL,A,SG,Will Richard,
2025-11-18,7:00 PM ET,GSW,ORL,GSW,4.0,223.5,ORL,GSW,H,SG,Desmond Bane,
2025-11-18,7:00 PM ET,GSW,ORL,GSW,4.0,223.5,GSW,ORL,A,SF,Moses Moody,
2025-11-18,7:00 PM ET,GSW,ORL,GSW,4.0,223.5,ORL,GSW,H,SF,Franz Wagner,IN
2025-11-18,7:00 PM ET,GSW,ORL,GSW,4.0,223.5,GSW,ORL,A,PF,Jimmy Butler,
2025-11-18,7:00 PM ET,GSW,ORL,GSW,4.0,223.5,ORL,GSW,H,PF,Tristan da Silva,
2025-11-18,7:00 PM ET,GSW,ORL,GSW,4.0,223.5,GSW,ORL,A,C,Draymond Green,
2025-11-18,7:00 PM ET,GSW,ORL,GSW,4.0,223.5,ORL,GSW,H,C,Wendell Carter Jr.,
2025-11-18,7:30 PM ET,BOS,BKN,BOS,10.5,224.0,BOS,BKN,A,PG,Derrick White,
2025-11-18,7:30 PM ET,BOS,BKN,BOS,10.5,224.0,BKN,BOS,H,PG,Egor Demin,
2025-11-18,7:30 PM ET,BOS,BKN,BOS,10.5,224.0,BOS,BKN,A,SG,Payton Pritchard,
2025-11-18,7:30 PM ET,BOS,BKN,BOS,10.5,224.0,BKN,BOS,H,SG,Terance Mann,
2025-11-18,7:30 PM ET,BOS,BKN,BOS,10.5,224.0,BOS,BKN,A,SF,Jaylen Brown,
2025-11-18,7:30 PM ET,BOS,BKN,BOS,10.5,224.0,BKN,BOS,H,SF,Michael Porter Jr.,
2025-11-18,7:30 PM ET,BOS,BKN,BOS,10.5,224.0,BOS,BKN,A,PF,Jordan Walsh,
2025-11-18,7:30 PM ET,BOS,BKN,BOS,10.5,224.0,BKN,BOS,H,PF,Noah Clowney,
2025-11-18,7:30 PM ET,BOS,BKN,BOS,10.5,224.0,BOS,BKN,A,C,Neemias Queta,
2025-11-18,7:30 PM ET,BOS,BKN,BOS,10.5,224.0,BKN,BOS,H,C,Nicolas Claxton,
2025-11-18,7:30 PM ET,DET,ATL,DET,1.5,229.5,DET,ATL,A,PG,Cade Cunningham,Q
2025-11-18,7:30 PM ET,DET,ATL,DET,1.5,229.5,ATL,DET,H,PG,Nickeil Alexander-Walker,
2025-11-18,7:30 PM ET,DET,ATL,DET,1.5,229.5,DET,ATL,A,SG,Duncan Robinson,
2025-11-18,7:30 PM ET,DET,ATL,DET,1.5,229.5,ATL,DET,H,SG,Dyson Daniels,
2025-11-18,7:30 PM ET,DET,ATL,DET,1.5,229.5,DET,ATL,A,SF,Ausar Thompson,Q
2025-11-18,7:30 PM ET,DET,ATL,DET,1.5,229.5,ATL,DET,H,SF,Zaccharie Risacher,Q
2025-11-18,7:30 PM ET,DET,ATL,DET,1.5,229.5,DET,ATL,A,PF,Isaiah Stewart,
2025-11-18,7:30 PM ET,DET,ATL,DET,1.5,229.5,ATL,DET,H,PF,Jalen Johnson,
2025-11-18,7:30 PM ET,DET,ATL,DET,1.5,229.5,DET,ATL,A,C,Jalen Duren,
2025-11-18,7:30 PM ET,DET,ATL,DET,1.5,229.5,ATL,DET,H,C,Kristaps Porzingis,Q
2025-11-18,8:00 PM ET,MEM,SAS,SAS,6.0,232.5,MEM,SAS,A,PG,Vince Williams Jr.,
2025-11-18,8:00 PM ET,MEM,SAS,SAS,6.0,232.5,SAS,MEM,H,PG,De'Aaron Fox,
2025-11-18,8:00 PM ET,MEM,SAS,SAS,6.0,232.5,MEM,SAS,A,SG,Jaylen Wells,
2025-11-18,8:00 PM ET,MEM,SAS,SAS,6.0,232.5,SAS,MEM,H,SG,Devin Vassell,
2025-11-18,8:00 PM ET,MEM,SAS,SAS,6.0,232.5,MEM,SAS,A,SF,Cedric Coward Off Inj,
2025-11-18,8:00 PM ET,MEM,SAS,SAS,6.0,232.5,SAS,MEM,H,SF,Julian Champagnie,
2025-11-18,8:00 PM ET,MEM,SAS,SAS,6.0,232.5,MEM,SAS,A,PF,Jaren Jackson Jr.,
2025-11-18,8:00 PM ET,MEM,SAS,SAS,6.0,232.5,SAS,MEM,H,PF,Harrison Barnes,
2025-11-18,8:00 PM ET,MEM,SAS,SAS,6.0,232.5,MEM,SAS,A,C,Zach Edey,
2025-11-18,8:00 PM ET,MEM,SAS,SAS,6.0,232.5,SAS,MEM,H,C,Luke Kornet,
2025-11-18,10:30 PM ET,UTA,LAL,LAL,12.0,237.0,UTA,LAL,A,PG,Keyonte George,
