date_local,time_local,away,home,network,spread,over_under,ml_home,ml_away,game_id
2025-11-18,10:30 PM,UTAH,LAL,"Spectrum Sports Net, KJZZ-TV",LAL -12.5,O/U 237.5,-700,450,401810108
2025-11-18,11:00 PM,PHX,POR,"NBC, Arizona's Family 3TV",POR -1.5,O/U 237.5,-120,100,401810109
2025-11-18,7:00 PM,GS,ORL,"FanDuel SN FL, NBC Sports BA",GS -3.5,O/U 223.5,140,-165,401810104
2025-11-18,7:30 PM,BOS,BKN,"YES, NBC Sports BO",BOS -10.5,O/U 224.5,380,-550,401810105
2025-11-18,7:30 PM,DET,ATL,"FanDuel SN DET, NBA League Pass",DET -1.5,O/U 229.5,105,-125,401810106
2025-11-18,8:00 PM,MEM,SA,"NBC, FanDuel SN SE, NBA League Pass",SA -5.5,O/U 232.5,-225,190,401810107
