date_local,time_local,away,home,network,spread,over_under,ml_home,ml_away,game_id
2025-11-16,3:30 PM,LAC,BOS,"NBC Sports BO, FanDuel SN SoCal",BOS -3.5,O/U 220.5,-165,140,401810088
2025-11-16,4:00 PM,SAC,SA,"NBC Sports CA, FanDuel SN SW",SA -8.5,O/U 236.5,-340,270,401810089
2025-11-16,6:00 PM,BKN,WSH,"MNMT, YES",WSH -3.5,O/U 233.5,-140,120,401810090
2025-11-16,7:00 PM,GS,NO,"GCSEN, NBC Sports BA",GS -10.5,O/U 228.5,400,-600,401810092
2025-11-16,7:00 PM,ORL,HOU,"FanDuel SN FL, Space City Home Network",HOU -8.5,O/U 228.5,-340,270,401810091
2025-11-16,7:30 PM,POR,DAL,"BlazerVision, KFAA-TV",POR -3.5,O/U 233.5,135,-155,401810093
2025-11-16,8:00 PM,ATL,PHX,"FanDuel SN SE, Arizona's Family 3TV",ATL -1.5,O/U 231.5,110,-130,401810094
2025-11-16,8:00 PM,CHI,UTAH,"CHSN, KJZZ-TV",CHI -4.5,O/U 243.5,150,-175,401810095
