date,game_time,away_team,home_team,fav,spread,total,team,opp,home_away,position,player,status
2025-11-20,7:00 PM ET,LAC,ORL,ORL,5.5,219.5,LAC,ORL,A,PG,James Harden,
2025-11-20,7:00 PM ET,LAC,ORL,ORL,5.5,219.5,ORL,LAC,H,PG,Jalen Suggs,
2025-11-20,7:00 PM ET,LAC,ORL,ORL,5.5,219.5,LAC,ORL,A,SG,Kris Dunn,
2025-11-20,7:00 PM ET,LAC,ORL,ORL,5.5,219.5,ORL,LAC,H,SG,Desmond Bane,
2025-11-20,7:00 PM ET,LAC,ORL,ORL,5.5,219.5,LAC,ORL,A,SF,Kobe Sanders,
2025-11-20,7:00 PM ET,LAC,ORL,ORL,5.5,219.5,ORL,LAC,H,SF,Franz Wagner,IN
2025-11-20,7:00 PM ET,LAC,ORL,ORL,5.5,219.5,LAC,ORL,A,PF,John Collins,
2025-11-20,7:00 PM ET,LAC,ORL,ORL,5.5,219.5,ORL,LAC,H,PF,Tristan da Silva,
2025-11-20,7:00 PM ET,LAC,ORL,ORL,5.5,219.5,LAC,ORL,A,C,Ivica Zubac,
2025-11-20,7:00 PM ET,LAC,ORL,ORL,5.5,219.5,ORL,LAC,H,C,Wendell Carter Jr.,
2025-11-20,8:00 PM ET,ATL,SAS,SAS,1.0,231.0,ATL,SAS,A,PG,Nickeil Alexander-Walker,
2025-11-20,8:00 PM ET,ATL,SAS,SAS,1.0,231.0,SAS,ATL,H,PG,De'Aaron Fox,
2025-11-20,8:00 PM ET,ATL,SAS,SAS,1.0,231.0,ATL,SAS,A,SG,Dyson Daniels,
2025-11-20,8:00 PM ET,ATL,SAS,SAS,1.0,231.0,SAS,ATL,H,SG,Devin Vassell,
2025-11-20,8:00 PM ET,ATL,SAS,SAS,1.0,231.0,ATL,SAS,A,SF,Zaccharie Risacher,Q
2025-11-20,8:00 PM ET,ATL,SAS,SAS,1.0,231.0,SAS,ATL,H,SF,Julian Champagnie,
2025-11-20,8:00 PM ET,ATL,SAS,SAS,1.0,231.0,ATL,SAS,A,PF,Jalen Johnson,
2025-11-20,8:00 PM ET,ATL,SAS,SAS,1.0,231.0,SAS,ATL,H,PF,Harrison Barnes,
2025-11-20,8:00 PM ET,ATL,SAS,SAS,1.0,231.0,ATL,SAS,A,C,Kristaps Porzingis,Q
2025-11-20,8:00 PM ET,ATL,SAS,SAS,1.0,231.0,SAS,ATL,H,C,Luke Kornet,
2025-11-20,8:00 PM ET,PHI,MIL,PHI,2.0,226.0,PHI,MIL,A,PG,Tyrese Maxey,
2025-11-20,8:00 PM ET,PHI,MIL,PHI,2.0,226.0,MIL,PHI,H,PG,Ryan Rollins,
2025-11-20,8:00 PM ET,PHI,MIL,PHI,2.0,226.0,PHI,MIL,A,SG,VJ Edgecombe,
2025-11-20,8:00 PM ET,PHI,MIL,PHI,2.0,226.0,MIL,PHI,H,SG,AJ Green,
2025-11-20,8:00 PM ET,PHI,MIL,PHI,2.0,226.0,PHI,MIL,A,SF,Paul George,P
2025-11-20,8:00 PM ET,PHI,MIL,PHI,2.0,226.0,MIL,PHI,H,SF,Gary Trent,
2025-11-20,8:00 PM ET,PHI,MIL,PHI,2.0,226.0,PHI,MIL,A,PF,Dominick Barlow,
2025-11-20,8:00 PM ET,PHI,MIL,PHI,2.0,226.0,MIL,PHI,H,PF,Kyle Kuzma,
2025-11-20,8:00 PM ET,PHI,MIL,PHI,2.0,226.0,PHI,MIL,A,C,Joel Embiid,Q
2025-11-20,8:00 PM ET,PHI,MIL,PHI,2.0,226.0,MIL,PHI,H,C,Myles Turner,
2025-11-20,8:00 PM ET,SAC,MEM,MEM,3.0,234.0,SAC,MEM,A,PG,Russell Westbrook,
2025-11-20,8:00 PM ET,SAC,MEM,MEM,3.0,234.0,MEM,SAC,H,PG,Vince Williams Jr.,
2025-11-20,8:00 PM ET,SAC,MEM,MEM,3.0,234.0,SAC,MEM,A,SG,Zach LaVine,
2025-11-20,8:00 PM ET,SAC,MEM,MEM,3.0,234.0,MEM,SAC,H,SG,Jaylen Wells,
2025-11-20,8:00 PM ET,SAC,MEM,MEM,3.0,234.0,SAC,MEM,A,SF,DeMar DeRozan,
2025-11-20,8:00 PM ET,SAC,MEM,MEM,3.0,234.0,MEM,SAC,H,SF,Cedric Coward,
2025-11-20,8:00 PM ET,SAC,MEM,MEM,3.0,234.0,SAC,MEM,A,PF,Precious Achiuwa,
2025-11-20,8:00 PM ET,SAC,MEM,MEM,3.0,234.0,MEM,SAC,H,PF,Santi Aldama,
2025-11-20,8:00 PM ET,SAC,MEM,MEM,3.0,234.0,SAC,MEM,A,C,Drew Eubanks,
2025-11-20,8:00 PM ET,SAC,MEM,MEM,3.0,234.0,MEM,SAC,H,C,Zach Edey,
