player,team,position,opponent,stat,opp_dvp_value,tier,edge_score
Kobe Sanders,LAC,SF,CHA,REB,6.2,BEST,-1
John Collins,LAC,PF,CHA,PTS,26.0,WORST,1
John Collins,LAC,PF,CHA,REB,9.0,BEST,-1
John Collins,LAC,PF,CHA,AST,5.7,WORST,1
Miles Bridges,CHA,PF,LAC,PTS,19.9,BEST,-1
Miles Bridges,CHA,PF,LAC,AST,3.7,BEST,-1
Miles Bridges,CHA,PF,LAC,PRA,32.9,BEST,-1
Ivica Zubac,LAC,C,CHA,REB,12.0,BEST,-1
Ryan Kalkbrenner,CHA,C,LAC,PTS,24.9,WORST,1
Jalen Brunson,NYK,PG,ORL,PTS,26.4,WORST,1
Landry Shamet,NYK,SG,ORL,AST,4.7,BEST,-1
Mikal Bridges,NYK,SF,ORL,AST,3.3,BEST,-1
Karl-Anthony Towns,NYK,PF,ORL,PRA,34.5,BEST,-1
Mitchell Robinson,NYK,C,ORL,PTS,19.3,BEST,-1
Mitchell Robinson,NYK,C,ORL,AST,2.9,BEST,-1
Mitchell Robinson,NYK,C,ORL,PRA,35.5,BEST,-1
Jeremiah Fears,NOR,PG,ATL,PTS,21.8,BEST,-1
Jeremiah Fears,NOR,PG,ATL,REB,7.3,WORST,1
Herb Jones,NOR,SG,ATL,PTS,26.5,WORST,1
Herb Jones,NOR,SG,ATL,PRA,38.7,WORST,1
Cade Cunningham,DET,PG,MIL,PTS,27.6,WORST,1
Cade Cunningham,DET,PG,MIL,REB,7.1,WORST,1
Cade Cunningham,DET,PG,MIL,PRA,43.1,WORST,1
Ryan Rollins,MIL,PG,DET,AST,6.7,BEST,-1
Jaden Ivey,DET,SG,MIL,AST,4.8,BEST,-1
Ausar Thompson,DET,SF,MIL,PTS,25.0,WORST,1
Ausar Thompson,DET,SF,MIL,PRA,38.5,WORST,1
Kyle Kuzma,MIL,SF,DET,PTS,19.8,BEST,-1
Kyle Kuzma,MIL,SF,DET,AST,3.6,BEST,-1
Kyle Kuzma,MIL,SF,DET,PRA,30.5,BEST,-1
Tobias Harris,DET,PF,MIL,PTS,20.6,BEST,-1
Jalen Duren,DET,C,MIL,PTS,19.4,BEST,-1
Jalen Duren,DET,C,MIL,AST,3.2,BEST,-1
Jalen Duren,DET,C,MIL,PRA,35.7,BEST,-1
Josh Giddey,CHI,PG,WAS,PTS,27.9,WORST,1
Josh Giddey,CHI,PG,WAS,AST,9.4,WORST,1
Josh Giddey,CHI,PG,WAS,PRA,43.8,WORST,1
Bilal Coulibaly,WAS,SG,CHI,PTS,21.3,BEST,-1
Bilal Coulibaly,WAS,SG,CHI,REB,5.3,BEST,-1
Bilal Coulibaly,WAS,SG,CHI,PRA,31.7,BEST,-1
Isaac Okoro,CHI,SF,WAS,PTS,24.6,WORST,1
Isaac Okoro,CHI,SF,WAS,REB,9.1,WORST,1
Isaac Okoro,CHI,SF,WAS,PRA,38.5,WORST,1
Justin Champagnie,WAS,PF,CHI,PTS,29.8,WORST,1
Justin Champagnie,WAS,PF,CHI,REB,12.9,WORST,1
Justin Champagnie,WAS,PF,CHI,PRA,47.0,WORST,1
Patrick Williams,CHI,PF,WAS,PTS,27.7,WORST,1
Patrick Williams,CHI,PF,WAS,REB,13.3,WORST,1
Patrick Williams,CHI,PF,WAS,AST,5.0,WORST,1
Patrick Williams,CHI,PF,WAS,PRA,46.0,WORST,1
Alexandre Sarr,WAS,C,CHI,PTS,24.8,WORST,1
Alexandre Sarr,WAS,C,CHI,REB,16.7,WORST,1
