date_local,time_local,away,home,network,spread,over_under,ml_home,ml_away,game_id
2025-11-21,10:00 PM,OKC,UTAH,"KJZZ-TV, FanDuel SN OK",OKC -16.5,O/U 233.5,800,-1600,401809797
2025-11-21,10:00 PM,POR,GS,"NBC Sports BA, KUNP 16",GS -8.5,O/U 236.5,-340,270,401809798
2025-11-21,7:00 PM,IND,CLE,Prime Video,CLE -13.5,O/U 238.5,-1000,600,401809790
2025-11-21,7:30 PM,BKN,BOS,"NBC Sports BO, YES",BOS -14.5,O/U 222.5,-1200,700,401809791
2025-11-21,7:30 PM,WSH,TOR,"MNMT, Sportsnet",TOR -13.5,O/U 239.5,-1000,600,401809792
2025-11-21,8:00 PM,MIA,CHI,"FanDuel SN Sun, CHSN+",CHI -2.5,O/U 249.5,-145,125,401809793
2025-11-21,8:30 PM,NO,DAL,"KFAA-TV, GCSEN",DAL -4.5,O/U 233.5,-175,150,401809794
2025-11-21,9:00 PM,MIN,PHX,"FanDuel SN North Extra, Arizona's Family CBS5",MIN -4.5,O/U 231.5,150,-175,401809795
2025-11-21,9:30 PM,DEN,HOU,Prime Video,HOU -2.5,O/U 236.5,-145,125,401809796
