date_local,time_local,away,home,network,spread,over_under,ml_home,ml_away,game_id
2025-11-15,5:00 PM,MEM,CLE,"FanDuel SN OH, FanDuel SN SE, NBA TV",CLE -10.5,O/U 238.5,-500,360,401810083
2025-11-15,7:00 PM,OKC,CHA,"FanDuel SN SE, FanDuel SN OK",OKC -15.5,O/U 226.5,750,-1400,401810084
2025-11-15,7:00 PM,TOR,IND,"FanDuel SN IN, TSN",TOR -7.5,O/U 233.5,250,-300,401810085
2025-11-15,8:00 PM,DEN,MIN,"FanDuel SN North, Altitude Sports",MIN -1.5,O/U 234.5,-115,-105,401810087
2025-11-15,8:00 PM,LAL,MIL,"Spectrum Sports Net, FanDuel SN WI, NBA TV",LAL -1.5,O/U 229.5,105,-125,401810086
