player,team,position,opponent,stat,opp_dvp_value,tier,edge_score,,,,
Ryan Rollins,MIL,PG,WAS,PTS,26.8,WORST,1,o15.5,-123,60%,
Ryan Rollins,MIL,PG,WAS,REB,6.9,WORST,1,o3.5,-140,70%,0.7
Ryan Rollins,MIL,PG,WAS,AST,9.2,WORST,1,,,,
Ryan Rollins,MIL,PG,WAS,PRA,42.9,WORST,1,o25.5,-111,60%,1
C.J. McCollum,WAS,PG,MIL,PTS,27.2,WORST,1,o18.5,-110,50%,
C.J. McCollum,WAS,PG,MIL,PRA,41.9,WORST,1,,,,
Bilal Coulibaly,WAS,SG,MIL,AST,4.8,BEST,-1,,,,
AJ Green,MIL,SF,WAS,REB,8.9,WORST,1,o2.5,-125,70%,0.625
AJ Green,MIL,SF,WAS,PRA,37.4,WORST,1,o14.5,-125,80%,0.6
Khris Middleton Off Inj,WAS,SF,MIL,PTS,24.3,WORST,1,,,,
Khris Middleton Off Inj,WAS,SF,MIL,PRA,37.8,WORST,1,o18.5,-114,50%,0.75
Giannis Antetokounmpo,MIL,PF,WAS,PTS,26.7,WORST,1,,,,
Giannis Antetokounmpo,MIL,PF,WAS,REB,13.4,WORST,1,,,,
Giannis Antetokounmpo,MIL,PF,WAS,AST,4.9,WORST,1,,,,
Giannis Antetokounmpo,MIL,PF,WAS,PRA,45,WORST,1,,,,
Kyshawn George,WAS,PF,MIL,PTS,20.6,BEST,-1,u15.5,-108,50%,
Myles Turner,MIL,C,WAS,PTS,26.4,WORST,1,o12.5,-125,60%,
Myles Turner,MIL,C,WAS,REB,17.4,WORST,1,,,,
Myles Turner,MIL,C,WAS,AST,5,WORST,1,,,,
Myles Turner,MIL,C,WAS,PRA,48.8,WORST,1,o21.5,-104,60%,
Nickeil Alexander-Walker,ATL,PG,DET,AST,7.2,BEST,-1,,,,
Cade Cunningham,DET,PG,ATL,REB,6.8,WORST,1,o6.5,115,70%,1.25
Dyson Daniels,ATL,SG,DET,AST,5,BEST,-1,,,,
Duncan Robinson,DET,SG,ATL,PTS,26,WORST,1,o11.5,-102,70%,1.25
Zaccharie Risacher,ATL,SF,DET,PTS,20,BEST,-1,,,,
Zaccharie Risacher,ATL,SF,DET,AST,3.7,BEST,-1,u1.5,-120,55%,0.6
Zaccharie Risacher,ATL,SF,DET,PRA,30.9,BEST,-1,,,,
Kristaps Porzingis,ATL,C,DET,PTS,18.9,BEST,-1,,,,
Kristaps Porzingis,ATL,C,DET,REB,13,BEST,-1,,,,
Kristaps Porzingis,ATL,C,DET,PRA,35.3,BEST,-1,,,,
Andrew Nembhard,IND,PG,CLE,REB,5.3,BEST,-1,u2.5,-115,70%,0.575
Donovan Mitchell,CLE,SG,IND,PTS,22,BEST,-1,,,,
Donovan Mitchell,CLE,SG,IND,REB,7.2,WORST,1,,,,
Donovan Mitchell,CLE,SG,IND,AST,4.7,BEST,-1,,,,
Ben Sheppard,IND,SG,CLE,PTS,21.8,BEST,-1,,,,
