player,team,position,opponent,stat,opp_dvp_value,tier,edge_score
LaMelo Ball,CHA,PG,IND,PTS,27.8,WORST,1
LaMelo Ball,CHA,PG,IND,PRA,42.7,WORST,1
Jarace Walker,IND,SF,CHA,REB,6.2,BEST,-1
Pascal Siakam,IND,PF,CHA,PTS,26.8,WORST,1
Pascal Siakam,IND,PF,CHA,AST,5.8,WORST,1
Pascal Siakam,IND,PF,CHA,PRA,41.8,WORST,1
Ryan Kalkbrenner,CHA,C,IND,PTS,25.4,WORST,1
Ryan Kalkbrenner,CHA,C,IND,REB,16.6,WORST,1
Ryan Kalkbrenner,CHA,C,IND,PRA,46.4,WORST,1
Isaiah Jackson,IND,C,CHA,REB,12.4,BEST,-1
Immanuel Quickley,TOR,PG,PHI,PTS,19.5,BEST,-1
Immanuel Quickley,TOR,PG,PHI,AST,7.9,BEST,-1
Immanuel Quickley,TOR,PG,PHI,PRA,33.0,BEST,-1
R.J. Barrett,TOR,SG,PHI,PTS,26.8,WORST,1
VJ Edgecombe,PHI,SG,TOR,PTS,20.6,BEST,-1
VJ Edgecombe,PHI,SG,TOR,PRA,32.0,BEST,-1
Brandon Ingram,TOR,SF,PHI,REB,9.2,WORST,1
Jakob Poeltl,TOR,C,PHI,AST,2.3,BEST,-1
Amen Thompson,HOU,PG,CLE,REB,5.4,BEST,-1
Amen Thompson,HOU,PG,CLE,PRA,35.7,BEST,-1
Josh Okogie,HOU,SG,CLE,PTS,22.2,BEST,-1
Sam Merrill,CLE,SG,HOU,PTS,20.1,BEST,-1
Sam Merrill,CLE,SG,HOU,REB,5.5,BEST,-1
Sam Merrill,CLE,SG,HOU,PRA,31.0,BEST,-1
Kevin Durant,HOU,SF,CLE,PTS,24.6,WORST,1
Kevin Durant,HOU,SF,CLE,REB,8.9,WORST,1
Kevin Durant,HOU,SF,CLE,AST,5.1,WORST,1
Kevin Durant,HOU,SF,CLE,PRA,38.6,WORST,1
De'Andre Hunter,CLE,SF,HOU,PTS,24.4,WORST,1
Jabari Smith Jr.,HOU,PF,CLE,PTS,27.9,WORST,1
Jabari Smith Jr.,HOU,PF,CLE,REB,13.9,WORST,1
Jabari Smith Jr.,HOU,PF,CLE,PRA,46.4,WORST,1
Evan Mobley,CLE,PF,HOU,REB,8.8,BEST,-1
Evan Mobley,CLE,PF,HOU,AST,3.4,BEST,-1
Evan Mobley,CLE,PF,HOU,PRA,34.9,BEST,-1
Alperen Sengun,HOU,C,CLE,PTS,18.5,BEST,-1
Jarrett Allen,CLE,C,HOU,REB,11.0,BEST,-1
Jarrett Allen,CLE,C,HOU,AST,2.7,BEST,-1
Jarrett Allen,CLE,C,HOU,PRA,33.3,BEST,-1
Stephen Curry,GSW,PG,MIA,REB,7.9,WORST,1
Will Richard,GSW,SG,MIA,REB,7.1,WORST,1
Will Richard,GSW,SG,MIA,PRA,38.7,WORST,1
Jimmy Butler,GSW,PF,MIA,PTS,26.0,WORST,1
Jimmy Butler,GSW,PF,MIA,REB,12.5,WORST,1
Jimmy Butler,GSW,PF,MIA,AST,2.9,BEST,-1
Draymond Green,GSW,C,MIA,REB,16.2,WORST,1
Trey Murphy,NOR,SF,DEN,REB,6.4,BEST,-1
Zion Williamson,NOR,PF,DEN,REB,8.3,BEST,-1
Zion Williamson,NOR,PF,DEN,PRA,34.7,BEST,-1
Russell Westbrook,SAC,PG,OKC,PTS,19.9,BEST,-1
Russell Westbrook,SAC,PG,OKC,AST,7.1,BEST,-1
Russell Westbrook,SAC,PG,OKC,PRA,33.1,BEST,-1
Keon Ellis,SAC,SG,OKC,AST,3.9,BEST,-1
Keon Ellis,SAC,SG,OKC,PRA,33.1,BEST,-1
Cason Wallace,OKC,SG,SAC,PTS,27.8,WORST,1
Cason Wallace,OKC,SG,SAC,AST,7.2,WORST,1
Cason Wallace,OKC,SG,SAC,PRA,42.0,WORST,1
