player,team,position,opponent,stat,opp_dvp_value,tier,edge_score
Luguentz Dort,OKC,SF,SAC,PTS,19.7,BEST,-1
Luguentz Dort,OKC,SF,SAC,AST,3.2,BEST,-1
Luguentz Dort,OKC,SF,SAC,PRA,31.0,BEST,-1
DeMar DeRozan,SAC,PF,OKC,PTS,19.9,BEST,-1
DeMar DeRozan,SAC,PF,OKC,PRA,34.0,BEST,-1
Chet Holmgren,OKC,PF,SAC,PTS,26.1,WORST,1
Chet Holmgren,OKC,PF,SAC,AST,5.3,WORST,1
Drew Eubanks,SAC,C,OKC,PTS,18.9,BEST,-1
Drew Eubanks,SAC,C,OKC,REB,12.4,BEST,-1
Drew Eubanks,SAC,C,OKC,PRA,34.4,BEST,-1
Isaiah Hartenstein,OKC,C,SAC,PTS,24.5,WORST,1
Isaiah Hartenstein,OKC,C,SAC,REB,16.4,WORST,1
Isaiah Hartenstein,OKC,C,SAC,AST,5.1,WORST,1
Isaiah Hartenstein,OKC,C,SAC,PRA,46.0,WORST,1
C.J. McCollum,WAS,PG,MIN,REB,7.5,WORST,1
C.J. McCollum,WAS,PG,MIN,AST,9.4,WORST,1
C.J. McCollum,WAS,PG,MIN,PRA,42.0,WORST,1
Donte DiVincenzo,MIN,PG,WAS,PTS,29.6,WORST,1
Donte DiVincenzo,MIN,PG,WAS,AST,9.1,WORST,1
Donte DiVincenzo,MIN,PG,WAS,PRA,45.3,WORST,1
Jaden McDaniels,MIN,SF,WAS,REB,8.9,WORST,1
Jaden McDaniels,MIN,SF,WAS,PRA,36.7,WORST,1
Kyshawn George,WAS,PF,MIN,REB,9.1,BEST,-1
Kyshawn George,WAS,PF,MIN,AST,3.3,BEST,-1
Julius Randle,MIN,PF,WAS,REB,13.1,WORST,1
Julius Randle,MIN,PF,WAS,PRA,43.8,WORST,1
Alexandre Sarr,WAS,C,MIN,AST,4.9,WORST,1
Rudy Gobert,MIN,C,WAS,PTS,24.8,WORST,1
Rudy Gobert,MIN,C,WAS,REB,17.8,WORST,1
Rudy Gobert,MIN,C,WAS,AST,5.6,WORST,1
Rudy Gobert,MIN,C,WAS,PRA,48.2,WORST,1
Jalen Brunson,NYK,PG,DAL,REB,8.1,WORST,1
Landry Shamet,NYK,SG,DAL,REB,8.0,WORST,1
Mikal Bridges,NYK,SF,DAL,PTS,19.7,BEST,-1
Mitchell Robinson,NYK,C,DAL,PRA,44.3,WORST,1
Josh Giddey,CHI,PG,POR,AST,6.9,BEST,-1
Kevin Huerter,CHI,SG,POR,PTS,27.4,WORST,1
Toumani Camara,POR,SG,CHI,PTS,20.7,BEST,-1
Toumani Camara,POR,SG,CHI,REB,5.4,BEST,-1
Toumani Camara,POR,SG,CHI,AST,4.9,BEST,-1
Toumani Camara,POR,SG,CHI,PRA,31.0,BEST,-1
Isaac Okoro,CHI,SF,POR,REB,9.5,WORST,1
Isaac Okoro,CHI,SF,POR,AST,5.3,WORST,1
Jerami Grant,POR,SF,CHI,REB,6.7,BEST,-1
Deni Avdija,POR,PF,CHI,PTS,30.3,WORST,1
Deni Avdija,POR,PF,CHI,REB,12.9,WORST,1
Deni Avdija,POR,PF,CHI,PRA,47.7,WORST,1
Nikola Vucevic,CHI,C,POR,PTS,25.0,WORST,1
Donovan Clingan,POR,C,CHI,AST,4.7,WORST,1
Donovan Clingan,POR,C,CHI,PRA,44.7,WORST,1
