date_local,time_local,away,home,network,spread,over_under,ml_home,ml_away,game_id
2025-11-26,10:00 PM,HOU,GS,"ESPN, NBC Sports BA",GS -2.5,O/U 224.5,-125,105,401809808
2025-11-26,10:00 PM,PHX,SAC,"NBC Sports CA, Arizona's Family 3TV",PHX -4.5,O/U 233.5,150,-175,401809810
2025-11-26,10:00 PM,SA,POR,"KUNP 16, FanDuel SN SW",POR -2.5,O/U 238.5,-130,110,401809809
2025-11-26,5:00 PM,DET,BOS,"ESPN, FanDuel SN DET",DET -2.5,O/U 230.5,130,-150,401809802
2025-11-26,7:00 PM,NY,CHA,"FanDuel SN SE, MSG",NY -6.5,O/U 238.5,210,-250,401809803
2025-11-26,7:30 PM,IND,TOR,"FanDuel SN IN, TSN",TOR -10.5,O/U 235.5,-550,380,401809805
2025-11-26,7:30 PM,MIL,MIA,"FanDuel SN Sun, FanDuel SN WI",MIA -7.5,O/U 237.5,-275,225,401809804
2025-11-26,7:30 PM,MIN,OKC,ESPN,OKC -8.5,O/U 226.5,-360,280,401809806
2025-11-26,8:00 PM,MEM,NO,"GCSEN, FanDuel SN SE",MEM -1.5,O/U 234.5,105,-125,401809807
