player,team,position,opponent,stat,opp_dvp_value,tier,edge_score
Stephen Curry,GSW,PG,ORL,PTS,26.7,WORST,1
Will Richard,GSW,SG,ORL,AST,4.7,BEST,-1
Moses Moody,GSW,SF,ORL,AST,3.3,BEST,-1
Moses Moody,GSW,SF,ORL,PRA,31.0,BEST,-1
Draymond Green,GSW,C,ORL,PTS,19.4,BEST,-1
Draymond Green,GSW,C,ORL,PRA,35.3,BEST,-1
Derrick White,BOS,PG,BKN,AST,9.7,WORST,1
Egor Demin,BKN,PG,BOS,PTS,20.4,BEST,-1
Egor Demin,BKN,PG,BOS,REB,5.0,BEST,-1
Egor Demin,BKN,PG,BOS,PRA,33.6,BEST,-1
Payton Pritchard,BOS,SG,BKN,AST,6.4,WORST,1
Terance Mann,BKN,SG,BOS,PTS,22.2,BEST,-1
Terance Mann,BKN,SG,BOS,REB,7.7,WORST,1
Jaylen Brown,BOS,SF,BKN,PTS,26.8,WORST,1
Jaylen Brown,BOS,SF,BKN,PRA,40.0,WORST,1
Michael Porter Jr.,BKN,SF,BOS,AST,3.0,BEST,-1
Jordan Walsh,BOS,PF,BKN,PRA,42.7,WORST,1
Noah Clowney,BKN,PF,BOS,AST,3.4,BEST,-1
Cade Cunningham,DET,PG,ATL,PTS,20.3,BEST,-1
Cade Cunningham,DET,PG,ATL,REB,7.4,WORST,1
Cade Cunningham,DET,PG,ATL,AST,7.7,BEST,-1
Nickeil Alexander-Walker,ATL,PG,DET,AST,6.6,BEST,-1
Duncan Robinson,DET,SG,ATL,PTS,27.7,WORST,1
Duncan Robinson,DET,SG,ATL,REB,7.1,WORST,1
Duncan Robinson,DET,SG,ATL,PRA,40.7,WORST,1
Ausar Thompson,DET,SF,ATL,PRA,37.0,WORST,1
Zaccharie Risacher,ATL,SF,DET,PTS,19.8,BEST,-1
Zaccharie Risacher,ATL,SF,DET,PRA,30.5,BEST,-1
Isaiah Stewart,DET,PF,ATL,PTS,21.0,BEST,-1
Isaiah Stewart,DET,PF,ATL,PRA,34.8,BEST,-1
Jalen Johnson,ATL,PF,DET,AST,3.4,BEST,-1
Kristaps Porzingis,ATL,C,DET,PTS,18.9,BEST,-1
De'Aaron Fox,SAS,PG,MEM,PTS,28.5,WORST,1
De'Aaron Fox,SAS,PG,MEM,PRA,42.9,WORST,1
Devin Vassell,SAS,SG,MEM,REB,7.1,WORST,1
Julian Champagnie,SAS,SF,MEM,REB,8.9,WORST,1
Julian Champagnie,SAS,SF,MEM,AST,5.6,WORST,1
Harrison Barnes,SAS,PF,MEM,PTS,20.3,BEST,-1
Harrison Barnes,SAS,PF,MEM,AST,5.1,WORST,1
Keyonte George,UTA,PG,LAL,REB,5.2,BEST,-1
Keyonte George,UTA,PG,LAL,AST,9.6,WORST,1
Austin Reaves,LAL,SG,UTA,PTS,28.4,WORST,1
Austin Reaves,LAL,SG,UTA,AST,6.5,WORST,1
Austin Reaves,LAL,SG,UTA,PRA,41.2,WORST,1
Ace Bailey,UTA,SF,LAL,PTS,28.1,WORST,1
Ace Bailey,UTA,SF,LAL,AST,3.2,BEST,-1
Ace Bailey,UTA,SF,LAL,PRA,39.0,WORST,1
LeBron James,LAL,SF,UTA,PTS,19.7,BEST,-1
LeBron James,LAL,SF,UTA,REB,6.6,BEST,-1
LeBron James,LAL,SF,UTA,PRA,31.0,BEST,-1
Lauri Markkanen,UTA,PF,LAL,AST,5.1,WORST,1
Rui Hachimura Off Inj,LAL,PF,UTA,AST,5.8,WORST,1
Rui Hachimura Off Inj,LAL,PF,UTA,PRA,42.1,WORST,1
Jusuf Nurkic,UTA,C,LAL,PTS,14.7,BEST,-1
Jusuf Nurkic,UTA,C,LAL,REB,12.7,BEST,-1
Jusuf Nurkic,UTA,C,LAL,PRA,30.9,BEST,-1
Deandre Ayton,LAL,C,UTA,AST,2.9,BEST,-1
Devin Booker,PHO,PG,POR,AST,6.9,BEST,-1
Dillon Brooks,PHO,SG,POR,PTS,27.1,WORST,1
Dillon Brooks,PHO,SG,POR,REB,5.7,BEST,-1
Toumani Camara,POR,SG,PHO,REB,5.6,BEST,-1
Toumani Camara,POR,SG,PHO,AST,6.2,WORST,1
Royce O'Neale,PHO,SF,POR,REB,9.5,WORST,1
Royce O'Neale,PHO,SF,POR,AST,5.4,WORST,1
Mark Williams,PHO,C,POR,PTS,24.5,WORST,1
Mark Williams,PHO,C,POR,AST,4.7,WORST,1
Mark Williams,PHO,C,POR,PRA,42.9,WORST,1
