date,game_time,away_team,home_team,fav,spread,total,team,opp,home_away,position,player,status
2025-11-23,1:00 PM ET,MIA,PHI,,,241.0,MIA,PHI,A,PG,Davion Mitchell,
2025-11-23,1:00 PM ET,MIA,PHI,,,241.0,PHI,MIA,H,PG,Tyrese Maxey,
2025-11-23,1:00 PM ET,MIA,PHI,,,241.0,MIA,PHI,A,SG,Norman Powell,P
2025-11-23,1:00 PM ET,MIA,PHI,,,241.0,PHI,MIA,H,SG,VJ Edgecombe,Q
2025-11-23,1:00 PM ET,MIA,PHI,,,241.0,MIA,PHI,A,SF,Pelle Larsson,
2025-11-23,1:00 PM ET,MIA,PHI,,,241.0,PHI,MIA,H,SF,Justin Edwards,
2025-11-23,1:00 PM ET,MIA,PHI,,,241.0,MIA,PHI,A,PF,Bam Adebayo,
2025-11-23,1:00 PM ET,MIA,PHI,,,241.0,PHI,MIA,H,PF,Paul George,
2025-11-23,1:00 PM ET,MIA,PHI,,,241.0,MIA,PHI,A,C,Kel'el Ware,
2025-11-23,1:00 PM ET,MIA,PHI,,,241.0,PHI,MIA,H,C,Andre Drummond,
2025-11-23,6:00 PM ET,LAC,CLE,CLE,8.5,229.0,LAC,CLE,A,PG,James Harden,
2025-11-23,6:00 PM ET,LAC,CLE,CLE,8.5,229.0,CLE,LAC,H,PG,Darius Garland Off Inj,
2025-11-23,6:00 PM ET,LAC,CLE,CLE,8.5,229.0,LAC,CLE,A,SG,Kris Dunn,
2025-11-23,6:00 PM ET,LAC,CLE,CLE,8.5,229.0,CLE,LAC,H,SG,Donovan Mitchell,
2025-11-23,6:00 PM ET,LAC,CLE,CLE,8.5,229.0,LAC,CLE,A,SF,Kawhi Leonard,P
2025-11-23,6:00 PM ET,LAC,CLE,CLE,8.5,229.0,CLE,LAC,H,SF,Jaylon Tyson,
2025-11-23,6:00 PM ET,LAC,CLE,CLE,8.5,229.0,LAC,CLE,A,PF,John Collins,
2025-11-23,6:00 PM ET,LAC,CLE,CLE,8.5,229.0,CLE,LAC,H,PF,De'Andre Hunter,
2025-11-23,6:00 PM ET,LAC,CLE,CLE,8.5,229.0,LAC,CLE,A,C,Ivica Zubac,
2025-11-23,6:00 PM ET,LAC,CLE,CLE,8.5,229.0,CLE,LAC,H,C,Evan Mobley,
2025-11-23,6:00 PM ET,CHA,ATL,ATL,7.5,231.0,CHA,ATL,A,PG,Collin Sexton,
2025-11-23,6:00 PM ET,CHA,ATL,ATL,7.5,231.0,ATL,CHA,H,PG,Nickeil Alexander-Walker,
2025-11-23,6:00 PM ET,CHA,ATL,ATL,7.5,231.0,CHA,ATL,A,SG,Kon Knueppel,
2025-11-23,6:00 PM ET,CHA,ATL,ATL,7.5,231.0,ATL,CHA,H,SG,Dyson Daniels,
2025-11-23,6:00 PM ET,CHA,ATL,ATL,7.5,231.0,CHA,ATL,A,SF,Brandon Miller,
2025-11-23,6:00 PM ET,CHA,ATL,ATL,7.5,231.0,ATL,CHA,H,SF,Zaccharie Risacher,
2025-11-23,6:00 PM ET,CHA,ATL,ATL,7.5,231.0,CHA,ATL,A,PF,Miles Bridges,
2025-11-23,6:00 PM ET,CHA,ATL,ATL,7.5,231.0,ATL,CHA,H,PF,Jalen Johnson,
2025-11-23,6:00 PM ET,CHA,ATL,ATL,7.5,231.0,CHA,ATL,A,C,Ryan Kalkbrenner,
2025-11-23,6:00 PM ET,CHA,ATL,ATL,7.5,231.0,ATL,CHA,H,C,Onyeka Okongwu,Q
2025-11-23,6:00 PM ET,ORL,BOS,BOS,4.5,222.5,ORL,BOS,A,PG,Anthony Black,
2025-11-23,6:00 PM ET,ORL,BOS,BOS,4.5,222.5,BOS,ORL,H,PG,Derrick White,
2025-11-23,6:00 PM ET,ORL,BOS,BOS,4.5,222.5,ORL,BOS,A,SG,Desmond Bane,
2025-11-23,6:00 PM ET,ORL,BOS,BOS,4.5,222.5,BOS,ORL,H,SG,Payton Pritchard,
2025-11-23,6:00 PM ET,ORL,BOS,BOS,4.5,222.5,ORL,BOS,A,SF,Franz Wagner,
2025-11-23,6:00 PM ET,ORL,BOS,BOS,4.5,222.5,BOS,ORL,H,SF,Jaylen Brown,
2025-11-23,6:00 PM ET,ORL,BOS,BOS,4.5,222.5,ORL,BOS,A,PF,Tristan da Silva,
2025-11-23,6:00 PM ET,ORL,BOS,BOS,4.5,222.5,BOS,ORL,H,PF,Jordan Walsh,
2025-11-23,6:00 PM ET,ORL,BOS,BOS,4.5,222.5,ORL,BOS,A,C,Wendell Carter Jr.,
2025-11-23,6:00 PM ET,ORL,BOS,BOS,4.5,222.5,BOS,ORL,H,C,Neemias Queta,
2025-11-23,6:00 PM ET,BKN,TOR,TOR,12.5,229.0,BKN,TOR,A,PG,Egor Demin,P
2025-11-23,6:00 PM ET,BKN,TOR,TOR,12.5,229.0,TOR,BKN,H,PG,Immanuel Quickley,
2025-11-23,6:00 PM ET,BKN,TOR,TOR,12.5,229.0,BKN,TOR,A,SG,Terance Mann,
2025-11-23,6:00 PM ET,BKN,TOR,TOR,12.5,229.0,TOR,BKN,H,SG,R.J. Barrett,
2025-11-23,6:00 PM ET,BKN,TOR,TOR,12.5,229.0,BKN,TOR,A,SF,Michael Porter Jr.,
2025-11-23,6:00 PM ET,BKN,TOR,TOR,12.5,229.0,TOR,BKN,H,SF,Ochai Agbaji,
2025-11-23,6:00 PM ET,BKN,TOR,TOR,12.5,229.0,BKN,TOR,A,PF,Noah Clowney,
2025-11-23,6:00 PM ET,BKN,TOR,TOR,12.5,229.0,TOR,BKN,H,PF,Brandon Ingram,
2025-11-23,6:00 PM ET,BKN,TOR,TOR,12.5,229.0,BKN,TOR,A,C,Nicolas Claxton,P
2025-11-23,6:00 PM ET,BKN,TOR,TOR,12.5,229.0,TOR,BKN,H,C,Scottie Barnes,
2025-11-23,7:00 PM ET,POR,OKC,OKC,15.5,233.5,POR,OKC,A,PG,Deni Avdija,
2025-11-23,7:00 PM ET,POR,OKC,OKC,15.5,233.5,OKC,POR,H,PG,Shai Gilgeous-Alexander,
2025-11-23,7:00 PM ET,POR,OKC,OKC,15.5,233.5,POR,OKC,A,SG,Toumani Camara,
2025-11-23,7:00 PM ET,POR,OKC,OKC,15.5,233.5,OKC,POR,H,SG,Cason Wallace,
