player,team,position,opponent,stat,opp_dvp_value,tier,edge_score
James Harden,LAC,PG,BOS,PTS,20.7,BEST,-1
James Harden,LAC,PG,BOS,REB,4.9,BEST,-1
James Harden,LAC,PG,BOS,PRA,33.9,BEST,-1
Kris Dunn,LAC,SG,BOS,PTS,21.3,BEST,-1
Kris Dunn,LAC,SG,BOS,REB,7.6,WORST,1
Derrick Jones,LAC,SF,BOS,PTS,20.2,BEST,-1
Derrick Jones,LAC,SF,BOS,AST,2.9,BEST,-1
Jaylen Brown,BOS,SF,LAC,REB,6.2,BEST,-1
Jordan Walsh,BOS,PF,LAC,PTS,20.0,BEST,-1
Jordan Walsh,BOS,PF,LAC,REB,9.3,BEST,-1
Jordan Walsh,BOS,PF,LAC,PRA,33.1,BEST,-1
Neemias Queta,BOS,C,LAC,PTS,25.8,WORST,1
De'Aaron Fox,SAS,PG,SAC,AST,7.6,BEST,-1
Stephon Castle,SAS,SG,SAC,PTS,28.3,WORST,1
Stephon Castle,SAS,SG,SAC,REB,7.3,WORST,1
Stephon Castle,SAS,SG,SAC,AST,6.9,WORST,1
Stephon Castle,SAS,SG,SAC,PRA,42.5,WORST,1
Devin Vassell,SAS,SF,SAC,PTS,18.5,BEST,-1
Devin Vassell,SAS,SF,SAC,AST,3.3,BEST,-1
Devin Vassell,SAS,SF,SAC,PRA,29.5,BEST,-1
Harrison Barnes,SAS,PF,SAC,PTS,26.5,WORST,1
Victor Wembanyama,SAS,C,SAC,PTS,24.7,WORST,1
Victor Wembanyama,SAS,C,SAC,REB,16.3,WORST,1
Victor Wembanyama,SAS,C,SAC,AST,5.3,WORST,1
Victor Wembanyama,SAS,C,SAC,PRA,46.3,WORST,1
Egor Demin,BKN,PG,WAS,PTS,30.8,WORST,1
Egor Demin,BKN,PG,WAS,PRA,46.5,WORST,1
C.J. McCollum,WAS,PG,BKN,REB,5.4,BEST,-1
C.J. McCollum,WAS,PG,BKN,AST,10.2,WORST,1
Bilal Coulibaly,WAS,SG,BKN,AST,6.6,WORST,1
Khris Middleton,WAS,SF,BKN,PTS,26.4,WORST,1
Khris Middleton,WAS,SF,BKN,PRA,39.6,WORST,1
Noah Clowney,BKN,PF,WAS,REB,13.5,WORST,1
Noah Clowney,BKN,PF,WAS,PRA,44.9,WORST,1
Kyshawn George,WAS,PF,BKN,REB,12.6,WORST,1
Kyshawn George,WAS,PF,BKN,AST,5.2,WORST,1
Kyshawn George,WAS,PF,BKN,PRA,44.0,WORST,1
Nicolas Claxton,BKN,C,WAS,PTS,24.9,WORST,1
Nicolas Claxton,BKN,C,WAS,REB,18.2,WORST,1
Nicolas Claxton,BKN,C,WAS,AST,5.2,WORST,1
Nicolas Claxton,BKN,C,WAS,PRA,48.3,WORST,1
Desmond Bane,ORL,SG,HOU,PTS,19.9,BEST,-1
Desmond Bane,ORL,SG,HOU,REB,5.6,BEST,-1
Desmond Bane,ORL,SG,HOU,PRA,31.0,BEST,-1
Kevin Durant,HOU,SF,ORL,AST,3.3,BEST,-1
Kevin Durant,HOU,SF,ORL,PRA,31.0,BEST,-1
Tristan da Silva,ORL,PF,HOU,REB,8.7,BEST,-1
Jabari Smith Jr.,HOU,PF,ORL,PTS,20.7,BEST,-1
Jabari Smith Jr.,HOU,PF,ORL,PRA,34.9,BEST,-1
Wendell Carter Jr.,ORL,C,HOU,REB,11.3,BEST,-1
Wendell Carter Jr.,ORL,C,HOU,AST,2.7,BEST,-1
Wendell Carter Jr.,ORL,C,HOU,PRA,33.9,BEST,-1
Alperen Sengun,HOU,C,ORL,PTS,19.0,BEST,-1
Alperen Sengun,HOU,C,ORL,REB,12.2,BEST,-1
Alperen Sengun,HOU,C,ORL,AST,2.8,BEST,-1
