player,team,position,opponent,stat,opp_dvp_value,tier,edge_score
Alperen Sengun,HOU,C,ORL,PRA,34.0,BEST,-1
Jrue Holiday,POR,PG,DAL,REB,8.0,WORST,1
Brandon Williams,DAL,PG,POR,AST,6.5,BEST,-1
Shaedon Sharpe,POR,SG,DAL,REB,8.0,WORST,1
Shaedon Sharpe,POR,SG,DAL,AST,4.9,BEST,-1
Max Christie,DAL,SG,POR,REB,5.6,BEST,-1
Toumani Camara,POR,SF,DAL,PTS,19.6,BEST,-1
Toumani Camara,POR,SF,DAL,PRA,31.4,BEST,-1
Cooper Flagg,DAL,SF,POR,REB,9.2,WORST,1
Cooper Flagg,DAL,SF,POR,AST,5.4,WORST,1
Deni Avdija,POR,PF,DAL,PTS,26.4,WORST,1
Deni Avdija,POR,PF,DAL,AST,3.5,BEST,-1
Daniel Gafford,DAL,C,POR,PTS,24.4,WORST,1
Daniel Gafford,DAL,C,POR,AST,4.9,WORST,1
Daniel Gafford,DAL,C,POR,PRA,43.3,WORST,1
Devin Booker,PHO,PG,ATL,PTS,19.8,BEST,-1
Devin Booker,PHO,PG,ATL,AST,7.7,BEST,-1
Devin Booker,PHO,PG,ATL,PRA,34.4,BEST,-1
Dyson Daniels,ATL,SG,PHO,AST,6.4,WORST,1
Dillon Brooks,PHO,SG,ATL,PTS,27.3,WORST,1
Dillon Brooks,PHO,SG,ATL,REB,7.3,WORST,1
Dillon Brooks,PHO,SG,ATL,PRA,40.4,WORST,1
Coby White,CHI,SG,UTA,PTS,28.6,WORST,1
Coby White,CHI,SG,UTA,REB,5.6,BEST,-1
Coby White,CHI,SG,UTA,AST,6.0,WORST,1
Coby White,CHI,SG,UTA,PRA,40.2,WORST,1
Svi Mykhailiuk,UTA,SG,CHI,PTS,20.5,BEST,-1
Svi Mykhailiuk,UTA,SG,CHI,PRA,31.2,BEST,-1
Isaac Okoro,CHI,SF,UTA,PTS,20.0,BEST,-1
Isaac Okoro,CHI,SF,UTA,REB,6.5,BEST,-1
Isaac Okoro,CHI,SF,UTA,AST,5.1,WORST,1
Matas Buzelis,CHI,PF,UTA,AST,5.8,WORST,1
Lauri Markkanen,UTA,PF,CHI,PTS,29.2,WORST,1
Lauri Markkanen,UTA,PF,CHI,REB,13.8,WORST,1
Lauri Markkanen,UTA,PF,CHI,PRA,48.0,WORST,1
Jusuf Nurkic,UTA,C,CHI,PTS,24.4,WORST,1
