date,game_time,away_team,home_team,fav,spread,total,team,opp,home_away,position,player,status
2025-11-19,7:00 PM ET,CHA,IND,CHA,1.5,237.0,CHA,IND,A,PG,LaMelo Ball,
2025-11-19,7:00 PM ET,CHA,IND,CHA,1.5,237.0,IND,CHA,H,PG,Andrew Nembhard,
2025-11-19,7:00 PM ET,CHA,IND,CHA,1.5,237.0,CHA,IND,A,SG,Sion James,
2025-11-19,7:00 PM ET,CHA,IND,CHA,1.5,237.0,IND,CHA,H,SG,Bennedict Mathurin,
2025-11-19,7:00 PM ET,CHA,IND,CHA,1.5,237.0,CHA,IND,A,SF,Kon Knueppel,
2025-11-19,7:00 PM ET,CHA,IND,CHA,1.5,237.0,IND,CHA,H,SF,Jarace Walker,
2025-11-19,7:00 PM ET,CHA,IND,CHA,1.5,237.0,CHA,IND,A,PF,Miles Bridges,
2025-11-19,7:00 PM ET,CHA,IND,CHA,1.5,237.0,IND,CHA,H,PF,Pascal Siakam,
2025-11-19,7:00 PM ET,CHA,IND,CHA,1.5,237.0,CHA,IND,A,C,Ryan Kalkbrenner,
2025-11-19,7:00 PM ET,CHA,IND,CHA,1.5,237.0,IND,CHA,H,C,Isaiah Jackson,
2025-11-19,7:00 PM ET,TOR,PHI,TOR,1.5,234.0,TOR,PHI,A,PG,Immanuel Quickley,
2025-11-19,7:00 PM ET,TOR,PHI,TOR,1.5,234.0,PHI,TOR,H,PG,Tyrese Maxey,
2025-11-19,7:00 PM ET,TOR,PHI,TOR,1.5,234.0,TOR,PHI,A,SG,R.J. Barrett,
2025-11-19,7:00 PM ET,TOR,PHI,TOR,1.5,234.0,PHI,TOR,H,SG,VJ Edgecombe,
2025-11-19,7:00 PM ET,TOR,PHI,TOR,1.5,234.0,TOR,PHI,A,SF,Brandon Ingram,
2025-11-19,7:00 PM ET,TOR,PHI,TOR,1.5,234.0,PHI,TOR,H,SF,Quentin Grimes,
2025-11-19,7:00 PM ET,TOR,PHI,TOR,1.5,234.0,TOR,PHI,A,PF,Scottie Barnes,
2025-11-19,7:00 PM ET,TOR,PHI,TOR,1.5,234.0,PHI,TOR,H,PF,Dominick Barlow,
2025-11-19,7:00 PM ET,TOR,PHI,TOR,1.5,234.0,TOR,PHI,A,C,Jakob Poeltl,
2025-11-19,7:00 PM ET,TOR,PHI,TOR,1.5,234.0,PHI,TOR,H,C,Andre Drummond,
2025-11-19,7:00 PM ET,HOU,CLE,HOU,1.5,233.0,HOU,CLE,A,PG,Amen Thompson,
2025-11-19,7:00 PM ET,HOU,CLE,HOU,1.5,233.0,CLE,HOU,H,PG,Donovan Mitchell,
2025-11-19,7:00 PM ET,HOU,CLE,HOU,1.5,233.0,HOU,CLE,A,SG,Josh Okogie,
2025-11-19,7:00 PM ET,HOU,CLE,HOU,1.5,233.0,CLE,HOU,H,SG,Sam Merrill,Q
2025-11-19,7:00 PM ET,HOU,CLE,HOU,1.5,233.0,HOU,CLE,A,SF,Kevin Durant,
2025-11-19,7:00 PM ET,HOU,CLE,HOU,1.5,233.0,CLE,HOU,H,SF,De'Andre Hunter,
2025-11-19,7:00 PM ET,HOU,CLE,HOU,1.5,233.0,HOU,CLE,A,PF,Jabari Smith Jr.,Q
2025-11-19,7:00 PM ET,HOU,CLE,HOU,1.5,233.0,CLE,HOU,H,PF,Evan Mobley,
2025-11-19,7:00 PM ET,HOU,CLE,HOU,1.5,233.0,HOU,CLE,A,C,Alperen Sengun,
2025-11-19,7:00 PM ET,HOU,CLE,HOU,1.5,233.0,CLE,HOU,H,C,Jarrett Allen,
2025-11-19,7:30 PM ET,GSW,MIA,MIA,6.5,234.0,GSW,MIA,A,PG,Stephen Curry,Q
2025-11-19,7:30 PM ET,GSW,MIA,MIA,6.5,234.0,MIA,GSW,H,PG,Davion Mitchell,
2025-11-19,7:30 PM ET,GSW,MIA,MIA,6.5,234.0,GSW,MIA,A,SG,Will Richard,
2025-11-19,7:30 PM ET,GSW,MIA,MIA,6.5,234.0,MIA,GSW,H,SG,Norman Powell,
2025-11-19,7:30 PM ET,GSW,MIA,MIA,6.5,234.0,GSW,MIA,A,SF,Moses Moody,
2025-11-19,7:30 PM ET,GSW,MIA,MIA,6.5,234.0,MIA,GSW,H,SF,Pelle Larsson,
2025-11-19,7:30 PM ET,GSW,MIA,MIA,6.5,234.0,GSW,MIA,A,PF,Jimmy Butler,Q
2025-11-19,7:30 PM ET,GSW,MIA,MIA,6.5,234.0,MIA,GSW,H,PF,Andrew Wiggins,
2025-11-19,7:30 PM ET,GSW,MIA,MIA,6.5,234.0,GSW,MIA,A,C,Draymond Green,
2025-11-19,7:30 PM ET,GSW,MIA,MIA,6.5,234.0,MIA,GSW,H,C,Bam Adebayo,Q
2025-11-19,8:00 PM ET,DEN,NOR,DEN,14.5,234.0,DEN,NOR,A,PG,Jamal Murray,
2025-11-19,8:00 PM ET,DEN,NOR,DEN,14.5,234.0,NOR,DEN,H,PG,Jeremiah Fears,
2025-11-19,8:00 PM ET,DEN,NOR,DEN,14.5,234.0,DEN,NOR,A,SG,Cam Johnson,
2025-11-19,8:00 PM ET,DEN,NOR,DEN,14.5,234.0,NOR,DEN,H,SG,Herb Jones,
2025-11-19,8:00 PM ET,DEN,NOR,DEN,14.5,234.0,DEN,NOR,A,SF,Peyton Watson,
2025-11-19,8:00 PM ET,DEN,NOR,DEN,14.5,234.0,NOR,DEN,H,SF,Trey Murphy,
2025-11-19,8:00 PM ET,DEN,NOR,DEN,14.5,234.0,DEN,NOR,A,PF,Aaron Gordon,
2025-11-19,8:00 PM ET,DEN,NOR,DEN,14.5,234.0,NOR,DEN,H,PF,Zion Williamson,Q
2025-11-19,8:00 PM ET,DEN,NOR,DEN,14.5,234.0,DEN,NOR,A,C,Nikola Jokic,
2025-11-19,8:00 PM ET,DEN,NOR,DEN,14.5,234.0,NOR,DEN,H,C,Derik Queen,
2025-11-19,8:00 PM ET,SAC,OKC,OKC,18.5,232.0,SAC,OKC,A,PG,Russell Westbrook,
2025-11-19,8:00 PM ET,SAC,OKC,OKC,18.5,232.0,OKC,SAC,H,PG,Shai Gilgeous-Alexander,
2025-11-19,8:00 PM ET,SAC,OKC,OKC,18.5,232.0,SAC,OKC,A,SG,Keon Ellis,
2025-11-19,8:00 PM ET,SAC,OKC,OKC,18.5,232.0,OKC,SAC,H,SG,Cason Wallace,
2025-11-19,8:00 PM ET,SAC,OKC,OKC,18.5,232.0,SAC,OKC,A,SF,Zach LaVine,
2025-11-19,8:00 PM ET,SAC,OKC,OKC,18.5,232.0,OKC,SAC,H,SF,Luguentz Dort,
2025-11-19,8:00 PM ET,SAC,OKC,OKC,18.5,232.0,SAC,OKC,A,PF,DeMar DeRozan,
2025-11-19,8:00 PM ET,SAC,OKC,OKC,18.5,232.0,OKC,SAC,H,PF,Chet Holmgren,
2025-11-19,8:00 PM ET,SAC,OKC,OKC,18.5,232.0,SAC,OKC,A,C,Drew Eubanks,
2025-11-19,8:00 PM ET,SAC,OKC,OKC,18.5,232.0,OKC,SAC,H,C,Isaiah Hartenstein,
2025-11-19,8:00 PM ET,WAS,MIN,MIN,16.0,238.0,WAS,MIN,A,PG,C.J. McCollum,
2025-11-19,8:00 PM ET,WAS,MIN,MIN,16.0,238.0,MIN,WAS,H,PG,Donte DiVincenzo,IN
2025-11-19,8:00 PM ET,WAS,MIN,MIN,16.0,238.0,WAS,MIN,A,SG,Bilal Coulibaly,
2025-11-19,8:00 PM ET,WAS,MIN,MIN,16.0,238.0,MIN,WAS,H,SG,Anthony Edwards,
2025-11-19,8:00 PM ET,WAS,MIN,MIN,16.0,238.0,WAS,MIN,A,SF,Khris Middleton,
2025-11-19,8:00 PM ET,WAS,MIN,MIN,16.0,238.0,MIN,WAS,H,SF,Jaden McDaniels,Q
2025-11-19,8:00 PM ET,WAS,MIN,MIN,16.0,238.0,WAS,MIN,A,PF,Kyshawn George,
2025-11-19,8:00 PM ET,WAS,MIN,MIN,16.0,238.0,MIN,WAS,H,PF,Julius Randle,
2025-11-19,8:00 PM ET,WAS,MIN,MIN,16.0,238.0,WAS,MIN,A,C,Alexandre Sarr,Q
2025-11-19,8:00 PM ET,WAS,MIN,MIN,16.0,238.0,MIN,WAS,H,C,Rudy Gobert,
2025-11-19,9:30 PM ET,NYK,DAL,NYK,5.5,230.5,NYK,DAL,A,PG,Jalen Brunson,Q
2025-11-19,9:30 PM ET,NYK,DAL,NYK,5.5,230.5,DAL,NYK,H,PG,Brandon Williams,
2025-11-19,9:30 PM ET,NYK,DAL,NYK,5.5,230.5,NYK,DAL,A,SG,Landry Shamet,
2025-11-19,9:30 PM ET,NYK,DAL,NYK,5.5,230.5,DAL,NYK,H,SG,Max Christie,
2025-11-19,9:30 PM ET,NYK,DAL,NYK,5.5,230.5,NYK,DAL,A,SF,Mikal Bridges,
2025-11-19,9:30 PM ET,NYK,DAL,NYK,5.5,230.5,DAL,NYK,H,SF,Cooper Flagg,IN
