date_local,time_local,away,home,network,spread,over_under,ml_home,ml_away,game_id
2025-11-19,10:00 PM,CHI,POR,"KUNP 16, CHSN",CHI -3.5,O/U 244.5,125,-145,401810118
2025-11-19,7:00 PM,CHA,IND,"FanDuel SN IN, FanDuel SN SE",CHA -1.5,O/U 236.5,110,-130,401810111
2025-11-19,7:00 PM,HOU,CLE,"ESPN, FanDuel SN OH, NBA League Pass",HOU -1.5,O/U 233.5,105,-125,401810110
2025-11-19,7:00 PM,TOR,PHI,"NBC Sports Phil, TSN",TOR -1.5,O/U 234.5,100,-120,401810113
2025-11-19,7:30 PM,GS,MIA,FanDuel SN Sun,MIA -6.5,O/U 232.5,-225,190,401810112
2025-11-19,8:00 PM,DEN,NO,"GCSEN, Altitude Sports",DEN -14.5,O/U 232.5,700,-1200,401810115
2025-11-19,8:00 PM,SAC,OKC,"FanDuel SN OK, NBC Sports CA",OKC -18.5,O/U 232.5,-2500,1100,401810116
2025-11-19,8:00 PM,WSH,MIN,"MNMT, FanDuel SN North",MIN -16.5,O/U 237.5,-1800,900,401810114
2025-11-19,9:30 PM,NY,DAL,"ESPN, MSG",NY -5.5,O/U 230.5,195,-230,401810117
