date_local,time_local,away,home,network,spread,over_under,ml_home,ml_away,game_id
2025-11-12,10:00 PM,ATL,SAC,"FanDuel SN SE, NBC Sports CA",ATL -3.5,O/U 235.5,140,-165,401810078
2025-11-12,10:30 PM,DEN,LAC,"Altitude Sports, FanDuel SN SoCal",DEN -2.5,O/U 225.5,120,-140,401810079
2025-11-12,7:00 PM,CHI,DET,"CHSN, FanDuel SN DET",DET -2.5,O/U 233.5,-135,115,401810069
2025-11-12,7:00 PM,MIL,CHA,"FanDuel SN SE, FanDuel SN WI",MIL -5.5,O/U 232.5,175,-210,401810068
2025-11-12,7:00 PM,ORL,NY,"ESPN, FanDuel SN FL, MSG",NY -3.5,O/U 227.5,-155,135,401810070
2025-11-12,7:30 PM,CLE,MIA,"FanDuel SN Sun, FanDuel SN OH",MIA -6.5,O/U 238.5,-225,190,401810072
2025-11-12,7:30 PM,MEM,BOS,"NBC Sports BO, FanDuel SN SE",BOS -6.5,O/U 230.5,-250,210,401810071
2025-11-12,8:00 PM,GS,SA,"NBC Sports BA, FanDuel SN SW",SA -4.5,O/U 229.5,-185,155,401810075
2025-11-12,8:00 PM,POR,NO,"KUNP 16, GCSEN",POR -7.5,O/U 231.5,250,-300,401810074
2025-11-12,8:00 PM,WSH,HOU,"MNMT, Space City Home Network",HOU -16.5,O/U 234.5,-2000,1000,401810073
2025-11-12,8:30 PM,PHX,DAL,"KFAA-TV, Arizona's Family 3TV",PHX -1.5,O/U 227.5,-105,-115,401810076
2025-11-12,9:30 PM,LAL,OKC,"ESPN, Spectrum Sports Net, FanDuel SN OK",OKC -7.5,O/U 229.5,-270,220,401810077
