player,team,position,opponent,stat,opp_dvp_value,tier,edge_score,,,,
Cade Cunningham,DET,PG,IND,PTS,26.5,WORST,1,o26.5,-118,alt 20+,1
Cade Cunningham,DET,PG,IND,AST,8.8,WORST,1,o9.5,-113,alt 8+,1
Cade Cunningham,DET,PG,IND,PRA,42,WORST,1,o41.5,-131,alt 35+,
Andrew Nembhard,IND,PG,DET,AST,6.8,BEST,-1,,,,
Duncan Robinson,DET,SG,IND,REB,7.2,WORST,1,,,,
Ausar Thompson,DET,SF,IND,REB,9,WORST,1,,,,
Ausar Thompson,DET,SF,IND,PRA,36.9,WORST,1,,,,
Ben Sheppard,IND,SF,DET,PTS,19.9,BEST,-1,u7.5,-130,,1.25
Ben Sheppard,IND,SF,DET,AST,3.6,BEST,-1,,,,
Ben Sheppard,IND,SF,DET,PRA,30.6,BEST,-1,,,,
Jalen Duren,DET,C,IND,PTS,25.1,WORST,1,o19.5,-102,alt 14+,1.5
Jalen Duren,DET,C,IND,REB,16.6,WORST,1,o11.5,-130,alt 10+,
Jalen Duren,DET,C,IND,PRA,45.9,WORST,1,o33.5,-115,alt 30+,
Isaiah Jackson,IND,C,DET,PTS,19.2,BEST,-1,,,,
Isaiah Jackson,IND,C,DET,PRA,36.4,BEST,-1,,,,
Immanuel Quickley,TOR,PG,CLE,REB,5.1,BEST,-1,,,,
Jaylon Tyson,CLE,SG,TOR,PTS,22.4,BEST,-1,,,,
Jaylon Tyson,CLE,SG,TOR,PRA,33.8,BEST,-1,,,,
Ja'Kobe Walter,TOR,SG,CLE,PTS,21.6,BEST,-1,,,,
Ja'Kobe Walter,TOR,SG,CLE,PRA,32.8,BEST,-1,,,,
De'Andre Hunter,CLE,SF,TOR,PRA,31.8,BEST,-1,,,,
Brandon Ingram,TOR,SF,CLE,AST,5.2,WORST,1,o3.5,-145,alt 3+,1
Brandon Ingram,TOR,SF,CLE,PRA,38.3,WORST,1,,,,
Scottie Barnes,TOR,PF,CLE,PTS,25.8,WORST,1,o19.5,-115,alt 14+,
Scottie Barnes,TOR,PF,CLE,REB,12.5,WORST,1,o7.5,-142,alt 5+,
Scottie Barnes,TOR,PF,CLE,PRA,42.4,WORST,1,,,alt 25+,
Jalen Brunson,NYK,PG,BKN,AST,9.5,WORST,1,o6.5,-148,alt 5+,
Jordan Clarkson,NYK,SG,BKN,REB,5.7,BEST,-1,,,,
Jordan Clarkson,NYK,SG,BKN,AST,6.2,WORST,1,,,,
Mikal Bridges,NYK,SF,BKN,PTS,25,WORST,1,o16.5,-105,alt 10+,
Mikal Bridges,NYK,SF,BKN,PRA,38.4,WORST,1,o24.5,-115,alt 19+,
Karl-Anthony Towns,NYK,PF,BKN,PRA,41.2,WORST,1,o38.5,-110,alt 29+,
Brandon Williams,DAL,PG,MIA,REB,7.5,WORST,1,,,,
Tyler Herro,MIA,PG,DAL,REB,7.9,WORST,1,,,,
Max Christie,DAL,SG,MIA,REB,7.4,WORST,1,,,,
Max Christie,DAL,SG,MIA,AST,6.2,WORST,1,,,,
Norman Powell,MIA,SG,DAL,REB,8.1,WORST,1,,,,
Norman Powell,MIA,SG,DAL,AST,4.9,BEST,-1,,,,
Cooper Flagg,DAL,SF,MIA,REB,8.8,WORST,1,o6.5,105,alt 5+,
Pelle Larsson,MIA,SF,DAL,PTS,19.9,BEST,-1,,,alt u20.5,
PJ Washington Off Inj,DAL,PF,MIA,REB,12.2,WORST,1,,,alt 6+,
PJ Washington Off Inj,DAL,PF,MIA,AST,3.2,BEST,-1,,,,
Daniel Gafford,DAL,C,MIA,REB,16.8,WORST,1,o6.5,-140,,
Bam Adebayo,MIA,C,DAL,PRA,44.5,WORST,1,,,alt 30+,
Deni Avdija,POR,PG,MIL,PTS,28.2,WORST,1,o24.5,-107,alt 19+,
Deni Avdija,POR,PG,MIL,REB,7.3,WORST,1,,,alt 5+,
Deni Avdija,POR,PG,MIL,PRA,44.2,WORST,1,,,alt 29+,
Ryan Rollins,MIL,PG,POR,AST,6.8,BEST,-1,,,,
Shaedon Sharpe,POR,SG,MIL,AST,4.6,BEST,-1,,,,
AJ Green,MIL,SG,POR,REB,5.6,BEST,-1,,,,
Toumani Camara,POR,SF,MIL,PTS,25,WORST,1,,,,
Toumani Camara,POR,SF,MIL,PRA,38.4,WORST,1,,,alt 15+,
Kyle Kuzma,MIL,SF,POR,REB,9.2,WORST,1,,,,
Jerami Grant,POR,PF,MIL,PTS,20.5,BEST,-1,,,,
Donovan Clingan,POR,C,MIL,REB,12.9,BEST,-1,o9.5,-127,alt 8+,
Myles Turner,MIL,C,POR,PTS,24.8,WORST,1,,,,
Myles Turner,MIL,C,POR,AST,4.8,WORST,1,,,,
Jamal Murray,DEN,PG,MEM,PTS,28,WORST,1,o22.5,-125,alt 20+,
Jamal Murray,DEN,PG,MEM,PRA,42.2,WORST,1,,,,
Cam Johnson,DEN,SG,MEM,AST,4.6,BEST,-1,,,,
Peyton Watson,DEN,SF,MEM,AST,5.4,WORST,1,,,,
Cedric Coward,MEM,SF,DEN,REB,6.4,BEST,-1,,,,
Spencer Jones,DEN,PF,MEM,PTS,19.6,BEST,-1,,,,
Spencer Jones,DEN,PF,MEM,AST,4.9,WORST,1,,,,
Jaren Jackson Jr.,MEM,PF,DEN,REB,8.5,BEST,-1,,,,
Jaren Jackson Jr.,MEM,PF,DEN,PRA,34.4,BEST,-1,,,,
Micah Peavy,NOR,SG,CHI,PTS,20.6,BEST,-1,,,,
Micah Peavy,NOR,SG,CHI,REB,5.4,BEST,-1,,,,
Micah Peavy,NOR,SG,CHI,PRA,31.1,BEST,-1,,,,
Saddiq Bey,NOR,PF,CHI,PTS,29.7,WORST,1,o10.5,-120,,0.69
Saddiq Bey,NOR,PF,CHI,REB,13.3,WORST,1,o4.5,-125,,0.75
Saddiq Bey,NOR,PF,CHI,PRA,47.4,WORST,1,o17.5,-124,,
Derik Queen,NOR,C,CHI,PTS,24.8,WORST,1,o17.5,-107,,
Derik Queen,NOR,C,CHI,REB,16.7,WORST,1,,,alt 6+,
Derik Queen,NOR,C,CHI,AST,4.8,WORST,1,,,,
Derik Queen,NOR,C,CHI,PRA,46.3,WORST,1,,,alt 10+ RA,
Josh Okogie,HOU,SG,PHO,PTS,26.3,WORST,1,,,,
Grayson Allen,PHO,SG,HOU,PTS,20.4,BEST,-1,,,,
Grayson Allen,PHO,SG,HOU,REB,5.3,BEST,-1,u3.5,-135,alt u5.5,
Grayson Allen,PHO,SG,HOU,PRA,31.1,BEST,-1,,,,
Alperen Sengun,HOU,PF,PHO,REB,9.2,BEST,-1,,,,
Alperen Sengun,HOU,PF,PHO,PRA,34.6,BEST,-1,,,,
Royce O'Neale,PHO,PF,HOU,REB,8.9,BEST,-1,u5.5,-145,alt u7.5,
Royce O'Neale,PHO,PF,HOU,AST,3,BEST,-1,u8.5 RA,-125,,0.75
Royce O'Neale,PHO,PF,HOU,PRA,33.3,BEST,-1,,,alt u25.5,
Oso Ighodaro,PHO,C,HOU,REB,10.8,BEST,-1,,,,
Oso Ighodaro,PHO,C,HOU,PRA,35.2,BEST,-1,,,,
Will Richard,GSW,SG,UTA,PTS,28.7,WORST,1,,,,
Will Richard,GSW,SG,UTA,AST,6.2,WORST,1,,,,
Will Richard,GSW,SG,UTA,PRA,41.2,WORST,1,,,,
Moses Moody,GSW,SF,UTA,PTS,20.1,BEST,-1,u13.5,-114,,1
Moses Moody,GSW,SF,UTA,REB,6.5,BEST,-1,u3.5,-114,,
Moses Moody,GSW,SF,UTA,AST,5.7,WORST,1,,,,
Jimmy Butler,GSW,PF,UTA,AST,5.6,WORST,1,,,,
Jimmy Butler,GSW,PF,UTA,PRA,41,WORST,1,,,,
Draymond Green,GSW,C,UTA,AST,3.1,BEST,-1,,,,
Donte DiVincenzo,MIN,PG,SAC,AST,7.9,BEST,-1,,,,
Russell Westbrook,SAC,PG,MIN,REB,7.6,WORST,1,,,alt 6+,
Anthony Edwards,MIN,SG,SAC,REB,7.2,WORST,1,,,,
Anthony Edwards,MIN,SG,SAC,AST,7.9,WORST,1,,,,
Anthony Edwards,MIN,SG,SAC,PRA,40.4,WORST,1,,,,
