date,game_time,away_team,home_team,fav,spread,total,team,opp,home_away,position,player,status
2025-11-30,3:00 PM ET,HOU,UTA,HOU,11.5,235.0,HOU,UTA,A,PG,Reed Sheppard,
2025-11-30,3:00 PM ET,HOU,UTA,HOU,11.5,235.0,UTA,HOU,H,PG,Keyonte George,Q
2025-11-30,3:00 PM ET,HOU,UTA,HOU,11.5,235.0,HOU,UTA,A,SG,Amen Thompson,
2025-11-30,3:00 PM ET,HOU,UTA,HOU,11.5,235.0,UTA,HOU,H,SG,Svi Mykhailiuk,
2025-11-30,3:00 PM ET,HOU,UTA,HOU,11.5,235.0,HOU,UTA,A,SF,Kevin Durant Off Inj,
2025-11-30,3:00 PM ET,HOU,UTA,HOU,11.5,235.0,UTA,HOU,H,SF,Ace Bailey Off Inj,
2025-11-30,3:00 PM ET,HOU,UTA,HOU,11.5,235.0,HOU,UTA,A,PF,Jabari Smith Jr.,
2025-11-30,3:00 PM ET,HOU,UTA,HOU,11.5,235.0,UTA,HOU,H,PF,Lauri Markkanen,
2025-11-30,3:00 PM ET,HOU,UTA,HOU,11.5,235.0,HOU,UTA,A,C,Alperen Sengun,
2025-11-30,3:00 PM ET,HOU,UTA,HOU,11.5,235.0,UTA,HOU,H,C,Jusuf Nurkic,
2025-11-30,6:00 PM ET,BOS,CLE,CLE,8.0,232.5,BOS,CLE,A,PG,Derrick White,
2025-11-30,6:00 PM ET,BOS,CLE,CLE,8.0,232.5,CLE,BOS,H,PG,Darius Garland Off Inj,
2025-11-30,6:00 PM ET,BOS,CLE,CLE,8.0,232.5,BOS,CLE,A,SG,Payton Pritchard,
2025-11-30,6:00 PM ET,BOS,CLE,CLE,8.0,232.5,CLE,BOS,H,SG,Donovan Mitchell,
2025-11-30,6:00 PM ET,BOS,CLE,CLE,8.0,232.5,BOS,CLE,A,SF,Jaylen Brown,Q
2025-11-30,6:00 PM ET,BOS,CLE,CLE,8.0,232.5,CLE,BOS,H,SF,Jaylon Tyson,
2025-11-30,6:00 PM ET,BOS,CLE,CLE,8.0,232.5,BOS,CLE,A,PF,Jordan Walsh,
2025-11-30,6:00 PM ET,BOS,CLE,CLE,8.0,232.5,CLE,BOS,H,PF,De'Andre Hunter,
2025-11-30,6:00 PM ET,BOS,CLE,CLE,8.0,232.5,BOS,CLE,A,C,Neemias Queta,
2025-11-30,6:00 PM ET,BOS,CLE,CLE,8.0,232.5,CLE,BOS,H,C,Evan Mobley,
2025-11-30,6:00 PM ET,TOR,NYK,NYK,7.5,232.5,TOR,NYK,A,PG,Immanuel Quickley,
2025-11-30,6:00 PM ET,TOR,NYK,NYK,7.5,232.5,NYK,TOR,H,PG,Jalen Brunson,
