player,team,position,opponent,stat,opp_dvp_value,tier,edge_score
Derrick White,BOS,PG,WAS,PTS,28.3148,WORST,1
Derrick White,BOS,PG,WAS,AST,9.1148,WORST,1
Derrick White,BOS,PG,WAS,PRA,44.2756,WORST,1
C.J. McCollum,WAS,PG,BOS,PTS,20.012,BEST,-1
C.J. McCollum,WAS,PG,BOS,REB,5.45,BEST,-1
C.J. McCollum,WAS,PG,BOS,PRA,34.1763,BEST,-1
Justin Champagnie,WAS,SF,BOS,REB,8.686,WORST,1
Justin Champagnie,WAS,SF,BOS,AST,3.312,BEST,-1
Jordan Walsh,BOS,PF,WAS,PTS,26.7143,WORST,1
Jordan Walsh,BOS,PF,WAS,REB,13.1126,WORST,1
Jordan Walsh,BOS,PF,WAS,AST,4.981,WORST,1
Jordan Walsh,BOS,PF,WAS,PRA,44.8079,WORST,1
Kyshawn George,WAS,PF,BOS,AST,3.311,BEST,-1
Neemias Queta,BOS,C,WAS,PTS,25.2127,WORST,1
Neemias Queta,BOS,C,WAS,REB,17.115,WORST,1
Neemias Queta,BOS,C,WAS,AST,4.98,WORST,1
Neemias Queta,BOS,C,WAS,PRA,47.3077,WORST,1
Moses Moody,GSW,SG,PHI,PTS,25.7135,WORST,1
Moses Moody,GSW,SG,PHI,AST,5.9116,WORST,1
Moses Moody,GSW,SG,PHI,PRA,38.1631,WORST,1
Jimmy Butler,GSW,SF,PHI,REB,8.788,WORST,1
Quinten Post,GSW,C,PHI,AST,2.62,BEST,-1
Svi Mykhailiuk,UTA,SG,BKN,AST,6.4119,WORST,1
Terance Mann,BKN,SG,UTA,PTS,27.3145,WORST,1
Terance Mann,BKN,SG,UTA,AST,5.9117,WORST,1
Terance Mann,BKN,SG,UTA,PRA,40.0712,WORST,1
Ziaire Williams,BKN,SF,UTA,REB,6.952,BEST,-1
Ziaire Williams,BKN,SF,UTA,AST,5.8115,WORST,1
Lauri Markkanen,UTA,PF,BKN,PTS,25.7137,WORST,1
Lauri Markkanen,UTA,PF,BKN,REB,11.6117,WORST,1
Lauri Markkanen,UTA,PF,BKN,PRA,41.8834,WORST,1
Noah Clowney,BKN,PF,UTA,AST,5.298,WORST,1
Noah Clowney,BKN,PF,UTA,PRA,40.6204,WORST,1
Jusuf Nurkic,UTA,C,BKN,AST,3.04,BEST,-1
Immanuel Quickley,TOR,PG,LAL,REB,4.51,BEST,-1
Austin Reaves,LAL,SG,TOR,PTS,22.353,BEST,-1
Austin Reaves,LAL,SG,TOR,REB,5.811,BEST,-1
Austin Reaves,LAL,SG,TOR,PRA,33.5744,BEST,-1
Ja'Kobe Walter,TOR,SG,LAL,AST,5.9118,WORST,1
Brandon Ingram,TOR,SF,LAL,PTS,26.2139,WORST,1
Brandon Ingram,TOR,SF,LAL,AST,3.517,BEST,-1
Scottie Barnes,TOR,PF,LAL,AST,5.196,WORST,1
Sandro Mamukelashvili,TOR,C,LAL,PTS,15.21,BEST,-1
Sandro Mamukelashvili,TOR,C,LAL,REB,12.512,BEST,-1
Sandro Mamukelashvili,TOR,C,LAL,PRA,31.652,BEST,-1
Jeremiah Fears,NOR,PG,MIN,REB,7.264,WORST,1
Bryce McGowens,NOR,SG,MIN,REB,5.02,BEST,-1
Bryce McGowens,NOR,SG,MIN,PRA,32.973,BEST,-1
Saddiq Bey,NOR,PF,MIN,AST,3.21,BEST,-1
