date_local,time_local,away,home,network,spread,over_under,ml_home,ml_away,game_id
2025-12-04,7:00 PM,BOS,WSH,"MNMT, NBC Sports BO",BOS -9.5,O/U 231.5,,,401810189
2025-12-04,7:00 PM,GS,PHI,"NBC Sports BA, NBC Sports Phil, NBA TV",PHI -3.5,O/U 222.5,,,401810188
2025-12-04,7:30 PM,LAL,TOR,"Spectrum Sports Net, Sportsnet",TOR -2.5,O/U 229.5,,,401810191
2025-12-04,7:30 PM,UTAH,BKN,"YES, KJZZ-TV",UTAH -5.5,O/U 230.5,,,401810190
2025-12-04,8:00 PM,MIN,NO,"GCSEN, FanDuel SN North",MIN -11.5,O/U 233.5,,,401810192
