date,game_time,away_team,home_team,fav,spread,total,team,opp,home_away,position,player,status
2025-11-28,7:30 PM ET,WAS,IND,IND,6.5,240.0,WAS,IND,A,PG,C.J. McCollum,
2025-11-28,7:30 PM ET,WAS,IND,IND,6.5,240.0,IND,WAS,H,PG,Andrew Nembhard,Q
2025-11-28,7:30 PM ET,WAS,IND,IND,6.5,240.0,WAS,IND,A,SG,Bilal Coulibaly,
2025-11-28,7:30 PM ET,WAS,IND,IND,6.5,240.0,IND,WAS,H,SG,Bennedict Mathurin,
2025-11-28,7:30 PM ET,WAS,IND,IND,6.5,240.0,WAS,IND,A,SF,Khris Middleton,
2025-11-28,7:30 PM ET,WAS,IND,IND,6.5,240.0,IND,WAS,H,SF,Jarace Walker,
2025-11-28,7:30 PM ET,WAS,IND,IND,6.5,240.0,WAS,IND,A,PF,Kyshawn George,Q
2025-11-28,7:30 PM ET,WAS,IND,IND,6.5,240.0,IND,WAS,H,PF,Pascal Siakam,
2025-11-28,7:30 PM ET,WAS,IND,IND,6.5,240.0,WAS,IND,A,C,Alexandre Sarr,
2025-11-28,7:30 PM ET,WAS,IND,IND,6.5,240.0,IND,WAS,H,C,Isaiah Jackson,
2025-11-28,7:30 PM ET,CHI,CHA,CHI,2.5,247.5,CHI,CHA,A,PG,Josh Giddey,
2025-11-28,7:30 PM ET,CHI,CHA,CHI,2.5,247.5,CHA,CHI,H,PG,LaMelo Ball Off Inj,
2025-11-28,7:30 PM ET,CHI,CHA,CHI,2.5,247.5,CHI,CHA,A,SG,Coby White,Q
2025-11-28,7:30 PM ET,CHI,CHA,CHI,2.5,247.5,CHA,CHI,H,SG,Kon Knueppel,
2025-11-28,7:30 PM ET,CHI,CHA,CHI,2.5,247.5,CHI,CHA,A,SF,Ayo Dosunmu,
2025-11-28,7:30 PM ET,CHI,CHA,CHI,2.5,247.5,CHA,CHI,H,SF,Brandon Miller Off Inj,
2025-11-28,7:30 PM ET,CHI,CHA,CHI,2.5,247.5,CHI,CHA,A,PF,Matas Buzelis,
2025-11-28,7:30 PM ET,CHI,CHA,CHI,2.5,247.5,CHA,CHI,H,PF,Miles Bridges,
2025-11-28,7:30 PM ET,CHI,CHA,CHI,2.5,247.5,CHI,CHA,A,C,Nikola Vucevic,Q
2025-11-28,7:30 PM ET,CHI,CHA,CHI,2.5,247.5,CHA,CHI,H,C,Ryan Kalkbrenner,
2025-11-28,7:30 PM ET,PHI,BKN,PHI,7.0,226.0,PHI,BKN,A,PG,Tyrese Maxey,
2025-11-28,7:30 PM ET,PHI,BKN,PHI,7.0,226.0,BKN,PHI,H,PG,Egor Demin,
2025-11-28,7:30 PM ET,PHI,BKN,PHI,7.0,226.0,PHI,BKN,A,SG,Quentin Grimes,
2025-11-28,7:30 PM ET,PHI,BKN,PHI,7.0,226.0,BKN,PHI,H,SG,Terance Mann,
2025-11-28,7:30 PM ET,PHI,BKN,PHI,7.0,226.0,PHI,BKN,A,SF,Justin Edwards,
2025-11-28,7:30 PM ET,PHI,BKN,PHI,7.0,226.0,BKN,PHI,H,SF,Ziaire Williams,
2025-11-28,7:30 PM ET,PHI,BKN,PHI,7.0,226.0,PHI,BKN,A,PF,Paul George,Q
2025-11-28,7:30 PM ET,PHI,BKN,PHI,7.0,226.0,BKN,PHI,H,PF,Noah Clowney,
2025-11-28,7:30 PM ET,PHI,BKN,PHI,7.0,226.0,PHI,BKN,A,C,Dominick Barlow,
2025-11-28,7:30 PM ET,PHI,BKN,PHI,7.0,226.0,BKN,PHI,H,C,Nicolas Claxton,
2025-11-28,7:30 PM ET,CLE,ATL,CLE,5.5,240.0,CLE,ATL,A,PG,Darius Garland Off Inj,
2025-11-28,7:30 PM ET,CLE,ATL,CLE,5.5,240.0,ATL,CLE,H,PG,Nickeil Alexander-Walker,
2025-11-28,7:30 PM ET,CLE,ATL,CLE,5.5,240.0,CLE,ATL,A,SG,Donovan Mitchell,
2025-11-28,7:30 PM ET,CLE,ATL,CLE,5.5,240.0,ATL,CLE,H,SG,Dyson Daniels,
2025-11-28,7:30 PM ET,CLE,ATL,CLE,5.5,240.0,CLE,ATL,A,SF,De'Andre Hunter Off Inj,
2025-11-28,7:30 PM ET,CLE,ATL,CLE,5.5,240.0,ATL,CLE,H,SF,Zaccharie Risacher,
2025-11-28,7:30 PM ET,CLE,ATL,CLE,5.5,240.0,CLE,ATL,A,PF,Evan Mobley,
2025-11-28,7:30 PM ET,CLE,ATL,CLE,5.5,240.0,ATL,CLE,H,PF,Jalen Johnson,
2025-11-28,7:30 PM ET,CLE,ATL,CLE,5.5,240.0,CLE,ATL,A,C,Jarrett Allen,P
2025-11-28,7:30 PM ET,CLE,ATL,CLE,5.5,240.0,ATL,CLE,H,C,Kristaps Porzingis,
2025-11-28,7:30 PM ET,ORL,DET,DET,3.0,233.5,ORL,DET,A,PG,Jalen Suggs,
2025-11-28,7:30 PM ET,ORL,DET,DET,3.0,233.5,DET,ORL,H,PG,Cade Cunningham,
2025-11-28,7:30 PM ET,ORL,DET,DET,3.0,233.5,ORL,DET,A,SG,Desmond Bane,
2025-11-28,7:30 PM ET,ORL,DET,DET,3.0,233.5,DET,ORL,H,SG,Duncan Robinson,
2025-11-28,7:30 PM ET,ORL,DET,DET,3.0,233.5,ORL,DET,A,SF,Franz Wagner,IN
2025-11-28,7:30 PM ET,ORL,DET,DET,3.0,233.5,DET,ORL,H,SF,Ausar Thompson,
2025-11-28,7:30 PM ET,ORL,DET,DET,3.0,233.5,ORL,DET,A,PF,Tristan da Silva,
2025-11-28,7:30 PM ET,ORL,DET,DET,3.0,233.5,DET,ORL,H,PF,Tobias Harris,
2025-11-28,7:30 PM ET,ORL,DET,DET,3.0,233.5,ORL,DET,A,C,Wendell Carter Jr.,
2025-11-28,7:30 PM ET,ORL,DET,DET,3.0,233.5,DET,ORL,H,C,Jalen Duren,
2025-11-28,7:30 PM ET,MIL,NYK,NYK,7.5,234.5,MIL,NYK,A,PG,Ryan Rollins,
2025-11-28,7:30 PM ET,MIL,NYK,NYK,7.5,234.5,NYK,MIL,H,PG,Jalen Brunson,
2025-11-28,7:30 PM ET,MIL,NYK,NYK,7.5,234.5,MIL,NYK,A,SG,Gary Trent,
2025-11-28,7:30 PM ET,MIL,NYK,NYK,7.5,234.5,NYK,MIL,H,SG,Miles McBride,
2025-11-28,7:30 PM ET,MIL,NYK,NYK,7.5,234.5,MIL,NYK,A,SF,AJ Green,
2025-11-28,7:30 PM ET,MIL,NYK,NYK,7.5,234.5,NYK,MIL,H,SF,Mikal Bridges,
2025-11-28,7:30 PM ET,MIL,NYK,NYK,7.5,234.5,MIL,NYK,A,PF,Giannis Antetokounmpo,Q
2025-11-28,7:30 PM ET,MIL,NYK,NYK,7.5,234.5,NYK,MIL,H,PF,Josh Hart,
2025-11-28,7:30 PM ET,MIL,NYK,NYK,7.5,234.5,MIL,NYK,A,C,Myles Turner,
2025-11-28,7:30 PM ET,MIL,NYK,NYK,7.5,234.5,NYK,MIL,H,C,Karl-Anthony Towns,
2025-11-28,9:30 PM ET,PHO,OKC,OKC,15.5,228.0,PHO,OKC,A,PG,Collin Gillespie,
