date,game_time,away_team,home_team,fav,spread,total,team,opp,home_away,position,player,status
2025-11-14,7:00 PM ET,MIA,NYK,NYK,5.5,236.5,MIA,NYK,A,PG,Davion Mitchell,IN
2025-11-14,7:00 PM ET,MIA,NYK,NYK,5.5,236.5,NYK,MIA,H,PG,Miles McBride,
2025-11-14,7:00 PM ET,MIA,NYK,NYK,5.5,236.5,MIA,NYK,A,SG,Norman Powell,IN
2025-11-14,7:00 PM ET,MIA,NYK,NYK,5.5,236.5,NYK,MIA,H,SG,Mikal Bridges,
2025-11-14,7:00 PM ET,MIA,NYK,NYK,5.5,236.5,MIA,NYK,A,SF,Pelle Larsson,
2025-11-14,7:00 PM ET,MIA,NYK,NYK,5.5,236.5,NYK,MIA,H,SF,O.G. Anunoby,
2025-11-14,7:00 PM ET,MIA,NYK,NYK,5.5,236.5,MIA,NYK,A,PF,Andrew Wiggins,
2025-11-14,7:00 PM ET,MIA,NYK,NYK,5.5,236.5,NYK,MIA,H,PF,Karl-Anthony Towns,
2025-11-14,7:00 PM ET,MIA,NYK,NYK,5.5,236.5,MIA,NYK,A,C,Kel'el Ware,IN
2025-11-14,7:00 PM ET,MIA,NYK,NYK,5.5,236.5,NYK,MIA,H,C,Mitchell Robinson,
2025-11-14,7:00 PM ET,BKN,ORL,ORL,14.5,225.5,BKN,ORL,A,PG,Egor Demin,
2025-11-14,7:00 PM ET,BKN,ORL,ORL,14.5,225.5,ORL,BKN,H,PG,Jalen Suggs,
2025-11-14,7:00 PM ET,BKN,ORL,ORL,14.5,225.5,BKN,ORL,A,SG,Terance Mann,
2025-11-14,7:00 PM ET,BKN,ORL,ORL,14.5,225.5,ORL,BKN,H,SG,Desmond Bane,
2025-11-14,7:00 PM ET,BKN,ORL,ORL,14.5,225.5,BKN,ORL,A,SF,Michael Porter Jr.,
2025-11-14,7:00 PM ET,BKN,ORL,ORL,14.5,225.5,ORL,BKN,H,SF,Franz Wagner,IN
2025-11-14,7:00 PM ET,BKN,ORL,ORL,14.5,225.5,BKN,ORL,A,PF,Noah Clowney,
2025-11-14,7:00 PM ET,BKN,ORL,ORL,14.5,225.5,ORL,BKN,H,PF,Tristan da Silva,
2025-11-14,7:00 PM ET,BKN,ORL,ORL,14.5,225.5,BKN,ORL,A,C,Nicolas Claxton,
2025-11-14,7:00 PM ET,BKN,ORL,ORL,14.5,225.5,ORL,BKN,H,C,Wendell Carter Jr.,
2025-11-14,7:30 PM ET,PHI,DET,DET,5.5,233.0,PHI,DET,A,PG,Tyrese Maxey,
2025-11-14,7:30 PM ET,PHI,DET,DET,5.5,233.0,DET,PHI,H,PG,Cade Cunningham,Q
2025-11-14,7:30 PM ET,PHI,DET,DET,5.5,233.0,PHI,DET,A,SG,VJ Edgecombe,Q
2025-11-14,7:30 PM ET,PHI,DET,DET,5.5,233.0,DET,PHI,H,SG,Duncan Robinson,
2025-11-14,7:30 PM ET,PHI,DET,DET,5.5,233.0,PHI,DET,A,SF,Kelly Oubre,
