date,game_time,away_team,home_team,fav,spread,total,team,opp,home_away,position,player,status
2025-11-16,3:30 PM ET,LAC,BOS,BOS,3.5,221.0,LAC,BOS,A,PG,James Harden,
2025-11-16,3:30 PM ET,LAC,BOS,BOS,3.5,221.0,BOS,LAC,H,PG,Derrick White,
2025-11-16,3:30 PM ET,LAC,BOS,BOS,3.5,221.0,LAC,BOS,A,SG,Kris Dunn,
2025-11-16,3:30 PM ET,LAC,BOS,BOS,3.5,221.0,BOS,LAC,H,SG,Payton Pritchard,
2025-11-16,3:30 PM ET,LAC,BOS,BOS,3.5,221.0,LAC,BOS,A,SF,Derrick Jones,
2025-11-16,3:30 PM ET,LAC,BOS,BOS,3.5,221.0,BOS,LAC,H,SF,Jaylen Brown,
2025-11-16,3:30 PM ET,LAC,BOS,BOS,3.5,221.0,LAC,BOS,A,PF,John Collins,
2025-11-16,3:30 PM ET,LAC,BOS,BOS,3.5,221.0,BOS,LAC,H,PF,Jordan Walsh,
2025-11-16,3:30 PM ET,LAC,BOS,BOS,3.5,221.0,LAC,BOS,A,C,Ivica Zubac,
2025-11-16,3:30 PM ET,LAC,BOS,BOS,3.5,221.0,BOS,LAC,H,C,Neemias Queta,
2025-11-16,4:00 PM ET,SAC,SAS,SAS,8.0,236.5,SAC,SAS,A,PG,Russell Westbrook,
2025-11-16,4:00 PM ET,SAC,SAS,SAS,8.0,236.5,SAS,SAC,H,PG,De'Aaron Fox,
2025-11-16,4:00 PM ET,SAC,SAS,SAS,8.0,236.5,SAC,SAS,A,SG,Zach LaVine,
2025-11-16,4:00 PM ET,SAC,SAS,SAS,8.0,236.5,SAS,SAC,H,SG,Stephon Castle,
2025-11-16,4:00 PM ET,SAC,SAS,SAS,8.0,236.5,SAC,SAS,A,SF,DeMar DeRozan,
2025-11-16,4:00 PM ET,SAC,SAS,SAS,8.0,236.5,SAS,SAC,H,SF,Devin Vassell,
2025-11-16,4:00 PM ET,SAC,SAS,SAS,8.0,236.5,SAC,SAS,A,PF,Precious Achiuwa,Q
2025-11-16,4:00 PM ET,SAC,SAS,SAS,8.0,236.5,SAS,SAC,H,PF,Harrison Barnes,
2025-11-16,4:00 PM ET,SAC,SAS,SAS,8.0,236.5,SAC,SAS,A,C,Domantas Sabonis,Q
2025-11-16,4:00 PM ET,SAC,SAS,SAS,8.0,236.5,SAS,SAC,H,C,Victor Wembanyama,Q
2025-11-16,6:00 PM ET,BKN,WAS,WAS,2.5,233.5,BKN,WAS,A,PG,Egor Demin,
2025-11-16,6:00 PM ET,BKN,WAS,WAS,2.5,233.5,WAS,BKN,H,PG,C.J. McCollum,
2025-11-16,6:00 PM ET,BKN,WAS,WAS,2.5,233.5,BKN,WAS,A,SG,Terance Mann,
2025-11-16,6:00 PM ET,BKN,WAS,WAS,2.5,233.5,WAS,BKN,H,SG,Bilal Coulibaly,Q
2025-11-16,6:00 PM ET,BKN,WAS,WAS,2.5,233.5,BKN,WAS,A,SF,Michael Porter Jr.,
