date,game_time,away_team,home_team,fav,spread,total,team,opp,home_away,position,player,status
2025-11-22,1:00 PM ET,LAC,CHA,LAC,1.0,227.0,LAC,CHA,A,PG,James Harden,
2025-11-22,1:00 PM ET,LAC,CHA,LAC,1.0,227.0,CHA,LAC,H,PG,LaMelo Ball Off Inj,
2025-11-22,1:00 PM ET,LAC,CHA,LAC,1.0,227.0,LAC,CHA,A,SG,Kris Dunn,
2025-11-22,1:00 PM ET,LAC,CHA,LAC,1.0,227.0,CHA,LAC,H,SG,Kon Knueppel,
2025-11-22,1:00 PM ET,LAC,CHA,LAC,1.0,227.0,LAC,CHA,A,SF,Kobe Sanders,
2025-11-22,1:00 PM ET,LAC,CHA,LAC,1.0,227.0,CHA,LAC,H,SF,Brandon Miller,IN
2025-11-22,1:00 PM ET,LAC,CHA,LAC,1.0,227.0,LAC,CHA,A,PF,John Collins,
2025-11-22,1:00 PM ET,LAC,CHA,LAC,1.0,227.0,CHA,LAC,H,PF,Miles Bridges,
2025-11-22,1:00 PM ET,LAC,CHA,LAC,1.0,227.0,LAC,CHA,A,C,Ivica Zubac,
2025-11-22,1:00 PM ET,LAC,CHA,LAC,1.0,227.0,CHA,LAC,H,C,Ryan Kalkbrenner,
2025-11-22,5:00 PM ET,NYK,ORL,ORL,1.0,230.5,NYK,ORL,A,PG,Jalen Brunson,P
2025-11-22,5:00 PM ET,NYK,ORL,ORL,1.0,230.5,ORL,NYK,H,PG,Jalen Suggs Off Inj,
2025-11-22,5:00 PM ET,NYK,ORL,ORL,1.0,230.5,NYK,ORL,A,SG,Landry Shamet,
2025-11-22,5:00 PM ET,NYK,ORL,ORL,1.0,230.5,ORL,NYK,H,SG,Desmond Bane,
2025-11-22,5:00 PM ET,NYK,ORL,ORL,1.0,230.5,NYK,ORL,A,SF,Mikal Bridges,
2025-11-22,5:00 PM ET,NYK,ORL,ORL,1.0,230.5,ORL,NYK,H,SF,Franz Wagner,IN
2025-11-22,5:00 PM ET,NYK,ORL,ORL,1.0,230.5,NYK,ORL,A,PF,Karl-Anthony Towns,
2025-11-22,5:00 PM ET,NYK,ORL,ORL,1.0,230.5,ORL,NYK,H,PF,Tristan da Silva,
2025-11-22,5:00 PM ET,NYK,ORL,ORL,1.0,230.5,NYK,ORL,A,C,Mitchell Robinson,
2025-11-22,5:00 PM ET,NYK,ORL,ORL,1.0,230.5,ORL,NYK,H,C,Wendell Carter Jr.,
2025-11-22,7:00 PM ET,ATL,NOR,ATL,8.5,231.5,ATL,NOR,A,PG,Nickeil Alexander-Walker,
2025-11-22,7:00 PM ET,ATL,NOR,ATL,8.5,231.5,NOR,ATL,H,PG,Jeremiah Fears,
2025-11-22,7:00 PM ET,ATL,NOR,ATL,8.5,231.5,ATL,NOR,A,SG,Dyson Daniels,
2025-11-22,7:00 PM ET,ATL,NOR,ATL,8.5,231.5,NOR,ATL,H,SG,Herb Jones,
2025-11-22,7:00 PM ET,ATL,NOR,ATL,8.5,231.5,ATL,NOR,A,SF,Zaccharie Risacher,
2025-11-22,7:00 PM ET,ATL,NOR,ATL,8.5,231.5,NOR,ATL,H,SF,Trey Murphy,
2025-11-22,7:00 PM ET,ATL,NOR,ATL,8.5,231.5,ATL,NOR,A,PF,Jalen Johnson,
2025-11-22,7:00 PM ET,ATL,NOR,ATL,8.5,231.5,NOR,ATL,H,PF,Saddiq Bey,
2025-11-22,7:00 PM ET,ATL,NOR,ATL,8.5,231.5,ATL,NOR,A,C,Kristaps Porzingis,
2025-11-22,7:00 PM ET,ATL,NOR,ATL,8.5,231.5,NOR,ATL,H,C,Derik Queen,
2025-11-22,8:00 PM ET,DET,MIL,DET,8.0,223.0,DET,MIL,A,PG,Cade Cunningham,
2025-11-22,8:00 PM ET,DET,MIL,DET,8.0,223.0,MIL,DET,H,PG,Ryan Rollins,
2025-11-22,8:00 PM ET,DET,MIL,DET,8.0,223.0,DET,MIL,A,SG,Jaden Ivey,Q
2025-11-22,8:00 PM ET,DET,MIL,DET,8.0,223.0,MIL,DET,H,SG,AJ Green,
2025-11-22,8:00 PM ET,DET,MIL,DET,8.0,223.0,DET,MIL,A,SF,Ausar Thompson,
2025-11-22,8:00 PM ET,DET,MIL,DET,8.0,223.0,MIL,DET,H,SF,Kyle Kuzma,Q
2025-11-22,8:00 PM ET,DET,MIL,DET,8.0,223.0,DET,MIL,A,PF,Tobias Harris,Q
2025-11-22,8:00 PM ET,DET,MIL,DET,8.0,223.0,MIL,DET,H,PF,Bobby Portis,
2025-11-22,8:00 PM ET,DET,MIL,DET,8.0,223.0,DET,MIL,A,C,Jalen Duren,
2025-11-22,8:00 PM ET,DET,MIL,DET,8.0,223.0,MIL,DET,H,C,Myles Turner,
2025-11-22,8:00 PM ET,WAS,CHI,CHI,12.5,244.0,WAS,CHI,A,PG,C.J. McCollum,
2025-11-22,8:00 PM ET,WAS,CHI,CHI,12.5,244.0,CHI,WAS,H,PG,Josh Giddey,
2025-11-22,8:00 PM ET,WAS,CHI,CHI,12.5,244.0,WAS,CHI,A,SG,Bilal Coulibaly,
2025-11-22,8:00 PM ET,WAS,CHI,CHI,12.5,244.0,CHI,WAS,H,SG,Coby White,P
2025-11-22,8:00 PM ET,WAS,CHI,CHI,12.5,244.0,WAS,CHI,A,SF,Kyshawn George,
2025-11-22,8:00 PM ET,WAS,CHI,CHI,12.5,244.0,CHI,WAS,H,SF,Isaac Okoro,Q
2025-11-22,8:00 PM ET,WAS,CHI,CHI,12.5,244.0,WAS,CHI,A,PF,Justin Champagnie,
2025-11-22,8:00 PM ET,WAS,CHI,CHI,12.5,244.0,CHI,WAS,H,PF,Patrick Williams,
2025-11-22,8:00 PM ET,WAS,CHI,CHI,12.5,244.0,WAS,CHI,A,C,Alexandre Sarr,Q
2025-11-22,8:00 PM ET,WAS,CHI,CHI,12.5,244.0,CHI,WAS,H,C,Nikola Vucevic,
2025-11-22,8:30 PM ET,MEM,DAL,DAL,1.0,229.0,MEM,DAL,A,PG,Vince Williams Jr.,
2025-11-22,8:30 PM ET,MEM,DAL,DAL,1.0,229.0,DAL,MEM,H,PG,Brandon Williams,
2025-11-22,8:30 PM ET,MEM,DAL,DAL,1.0,229.0,MEM,DAL,A,SG,Jaylen Wells,
2025-11-22,8:30 PM ET,MEM,DAL,DAL,1.0,229.0,DAL,MEM,H,SG,Max Christie,
2025-11-22,8:30 PM ET,MEM,DAL,DAL,1.0,229.0,MEM,DAL,A,SF,Cedric Coward,
2025-11-22,8:30 PM ET,MEM,DAL,DAL,1.0,229.0,DAL,MEM,H,SF,Cooper Flagg,
2025-11-22,8:30 PM ET,MEM,DAL,DAL,1.0,229.0,MEM,DAL,A,PF,Santi Aldama,
2025-11-22,8:30 PM ET,MEM,DAL,DAL,1.0,229.0,DAL,MEM,H,PF,PJ Washington,
2025-11-22,8:30 PM ET,MEM,DAL,DAL,1.0,229.0,MEM,DAL,A,C,Zach Edey,
2025-11-22,8:30 PM ET,MEM,DAL,DAL,1.0,229.0,DAL,MEM,H,C,Daniel Gafford,
2025-11-22,10:00 PM ET,SAC,DEN,DEN,11.0,236.5,SAC,DEN,A,PG,Russell Westbrook,
2025-11-22,10:00 PM ET,SAC,DEN,DEN,11.0,236.5,DEN,SAC,H,PG,Jamal Murray,
2025-11-22,10:00 PM ET,SAC,DEN,DEN,11.0,236.5,SAC,DEN,A,SG,Zach LaVine,
2025-11-22,10:00 PM ET,SAC,DEN,DEN,11.0,236.5,DEN,SAC,H,SG,Cam Johnson,
2025-11-22,10:00 PM ET,SAC,DEN,DEN,11.0,236.5,SAC,DEN,A,SF,DeMar DeRozan,
2025-11-22,10:00 PM ET,SAC,DEN,DEN,11.0,236.5,DEN,SAC,H,SF,Peyton Watson,
2025-11-22,10:00 PM ET,SAC,DEN,DEN,11.0,236.5,SAC,DEN,A,PF,Keegan Murray,
2025-11-22,10:00 PM ET,SAC,DEN,DEN,11.0,236.5,DEN,SAC,H,PF,Spencer Jones,
2025-11-22,10:00 PM ET,SAC,DEN,DEN,11.0,236.5,SAC,DEN,A,C,Drew Eubanks,
2025-11-22,10:00 PM ET,SAC,DEN,DEN,11.0,236.5,DEN,SAC,H,C,Nikola Jokic,
