date_local,time_local,away,home,network,spread,over_under,ml_home,ml_away,game_id
2025-11-22,10:00 PM,SAC,DEN,"Altitude Sports, NBC Sports CA",DEN -10.5,O/U 236.5,-600,400,401810129
2025-11-22,1:00 PM,LAC,CHA,"FanDuel SN SE, FanDuel SN SoCal",LAC -1.5,O/U 227.5,100,-120,401810123
2025-11-22,5:00 PM,NY,ORL,"FanDuel SN FL, MSG, NBA TV",ORL -1.5,O/U 230.5,-125,105,401810124
2025-11-22,7:00 PM,ATL,NO,"GCSEN, FanDuel SN SE",ATL -8.5,O/U 231.5,300,-400,401810125
2025-11-22,8:00 PM,DET,MIL,"FanDuel SN DET, FanDuel SN WI, NBA TV",DET -7.5,O/U 223.5,280,-360,401810127
2025-11-22,8:00 PM,WSH,CHI,"MNMT, CHSN",CHI -12.5,O/U 243.5,-800,500,401810126
2025-11-22,8:30 PM,MEM,DAL,"KFAA-TV, FanDuel SN SE",DAL -1.5,O/U 228.5,-115,-105,401810128
