date,game_time,away_team,home_team,fav,spread,total,team,opp,home_away,position,player,status
2025-11-15,5:00 PM ET,MEM,CLE,CLE,11.5,238.5,MEM,CLE,A,PG,Ja Morant Off Inj,
2025-11-15,5:00 PM ET,MEM,CLE,CLE,11.5,238.5,CLE,MEM,H,PG,Donovan Mitchell,
2025-11-15,5:00 PM ET,MEM,CLE,CLE,11.5,238.5,MEM,CLE,A,SG,Kentavious Caldwell-Pope Off Inj,
2025-11-15,5:00 PM ET,MEM,CLE,CLE,11.5,238.5,CLE,MEM,H,SG,Sam Merrill,
2025-11-15,5:00 PM ET,MEM,CLE,CLE,11.5,238.5,MEM,CLE,A,SF,Jaylen Wells,
2025-11-15,5:00 PM ET,MEM,CLE,CLE,11.5,238.5,CLE,MEM,H,SF,De'Andre Hunter,
2025-11-15,5:00 PM ET,MEM,CLE,CLE,11.5,238.5,MEM,CLE,A,PF,Jaren Jackson Jr.,
2025-11-15,5:00 PM ET,MEM,CLE,CLE,11.5,238.5,CLE,MEM,H,PF,Evan Mobley,
2025-11-15,5:00 PM ET,MEM,CLE,CLE,11.5,238.5,MEM,CLE,A,C,Zach Edey,Q
2025-11-15,5:00 PM ET,MEM,CLE,CLE,11.5,238.5,CLE,MEM,H,C,Jarrett Allen,
2025-11-15,7:00 PM ET,TOR,IND,TOR,6.5,233.5,TOR,IND,A,PG,Immanuel Quickley,
2025-11-15,7:00 PM ET,TOR,IND,TOR,6.5,233.5,IND,TOR,H,PG,Andrew Nembhard,
2025-11-15,7:00 PM ET,TOR,IND,TOR,6.5,233.5,TOR,IND,A,SG,R.J. Barrett,
2025-11-15,7:00 PM ET,TOR,IND,TOR,6.5,233.5,IND,TOR,H,SG,Ben Sheppard,
2025-11-15,7:00 PM ET,TOR,IND,TOR,6.5,233.5,TOR,IND,A,SF,Brandon Ingram,
2025-11-15,7:00 PM ET,TOR,IND,TOR,6.5,233.5,IND,TOR,H,SF,Pascal Siakam,
2025-11-15,7:00 PM ET,TOR,IND,TOR,6.5,233.5,TOR,IND,A,PF,Scottie Barnes,
2025-11-15,7:00 PM ET,TOR,IND,TOR,6.5,233.5,IND,TOR,H,PF,Jeremiah Robinson-Earl,
2025-11-15,7:00 PM ET,TOR,IND,TOR,6.5,233.5,TOR,IND,A,C,Jakob Poeltl,
2025-11-15,7:00 PM ET,TOR,IND,TOR,6.5,233.5,IND,TOR,H,C,Tony Bradley,
2025-11-15,7:00 PM ET,OKC,CHA,OKC,16.0,225.0,OKC,CHA,A,PG,Shai Gilgeous-Alexander,
2025-11-15,7:00 PM ET,OKC,CHA,OKC,16.0,225.0,CHA,OKC,H,PG,Collin Sexton,
2025-11-15,7:00 PM ET,OKC,CHA,OKC,16.0,225.0,OKC,CHA,A,SG,Cason Wallace,
2025-11-15,7:00 PM ET,OKC,CHA,OKC,16.0,225.0,CHA,OKC,H,SG,Sion James,
2025-11-15,7:00 PM ET,OKC,CHA,OKC,16.0,225.0,OKC,CHA,A,SF,Luguentz Dort,Q
2025-11-15,7:00 PM ET,OKC,CHA,OKC,16.0,225.0,CHA,OKC,H,SF,Kon Knueppel,
2025-11-15,7:00 PM ET,OKC,CHA,OKC,16.0,225.0,OKC,CHA,A,PF,Chet Holmgren,
2025-11-15,7:00 PM ET,OKC,CHA,OKC,16.0,225.0,CHA,OKC,H,PF,Miles Bridges,
2025-11-15,7:00 PM ET,OKC,CHA,OKC,16.0,225.0,OKC,CHA,A,C,Isaiah Hartenstein,
2025-11-15,7:00 PM ET,OKC,CHA,OKC,16.0,225.0,CHA,OKC,H,C,Ryan Kalkbrenner,Q
2025-11-15,8:00 PM ET,DEN,MIN,MIN,2.5,234.5,DEN,MIN,A,PG,Jamal Murray,
2025-11-15,8:00 PM ET,DEN,MIN,MIN,2.5,234.5,MIN,DEN,H,PG,Donte DiVincenzo,
2025-11-15,8:00 PM ET,DEN,MIN,MIN,2.5,234.5,DEN,MIN,A,SG,Tim Hardaway Jr.,
2025-11-15,8:00 PM ET,DEN,MIN,MIN,2.5,234.5,MIN,DEN,H,SG,Anthony Edwards,
2025-11-15,8:00 PM ET,DEN,MIN,MIN,2.5,234.5,DEN,MIN,A,SF,Peyton Watson,
2025-11-15,8:00 PM ET,DEN,MIN,MIN,2.5,234.5,MIN,DEN,H,SF,Jaden McDaniels,
2025-11-15,8:00 PM ET,DEN,MIN,MIN,2.5,234.5,DEN,MIN,A,PF,Aaron Gordon,
2025-11-15,8:00 PM ET,DEN,MIN,MIN,2.5,234.5,MIN,DEN,H,PF,Julius Randle,
2025-11-15,8:00 PM ET,DEN,MIN,MIN,2.5,234.5,DEN,MIN,A,C,Nikola Jokic,Q
2025-11-15,8:00 PM ET,DEN,MIN,MIN,2.5,234.5,MIN,DEN,H,C,Rudy Gobert,
2025-11-15,8:00 PM ET,LAL,MIL,LAL,1.0,230.0,LAL,MIL,A,PG,Luka Doncic,Q
2025-11-15,8:00 PM ET,LAL,MIL,LAL,1.0,230.0,MIL,LAL,H,PG,Ryan Rollins,
2025-11-15,8:00 PM ET,LAL,MIL,LAL,1.0,230.0,LAL,MIL,A,SG,Austin Reaves,Q
2025-11-15,8:00 PM ET,LAL,MIL,LAL,1.0,230.0,MIL,LAL,H,SG,AJ Green,
