player,team,position,opponent,stat,opp_dvp_value,tier,edge_score
Andrew Nembhard,IND,PG,DET,AST,6.7,BEST,-1
Cade Cunningham,DET,PG,IND,PTS,27.2,WORST,1
Jalen Duren,DET,C,IND,PRA,44.5,WORST,1
James Harden,LAC,PG,PHI,PTS,19.9,BEST,-1
James Harden,LAC,PG,PHI,PRA,33.6,BEST,-1
Bogdan Bogdanovic,LAC,SF,PHI,REB,9.2,WORST,1
Dominick Barlow,PHI,PF,LAC,PTS,19.5,BEST,-1
Dominick Barlow,PHI,PF,LAC,PRA,32.5,BEST,-1
Ivica Zubac,LAC,C,PHI,AST,2.5,BEST,-1
Andre Drummond,PHI,C,LAC,PTS,25.9,WORST,1
De'Andre Hunter,CLE,SF,MIL,PTS,25.2,WORST,1
De'Andre Hunter,CLE,SF,MIL,PRA,38.8,WORST,1
Giannis Antetokounmpo,MIL,PF,CLE,PTS,28.1,WORST,1
Giannis Antetokounmpo,MIL,PF,CLE,REB,14.1,WORST,1
Giannis Antetokounmpo,MIL,PF,CLE,PRA,46.8,WORST,1
Myles Turner,MIL,C,CLE,PTS,18.7,BEST,-1
Miles McBride,NYK,PG,MIA,REB,8.1,WORST,1
Miles McBride,NYK,PG,MIA,AST,9.7,WORST,1
Jordan Clarkson,NYK,SG,MIA,REB,7.3,WORST,1
Mikal Bridges,NYK,SF,MIA,REB,9.2,WORST,1
Karl-Anthony Towns,NYK,PF,MIA,AST,3.0,BEST,-1
Sion James,CHA,SG,TOR,PTS,20.7,BEST,-1
Sion James,CHA,SG,TOR,REB,5.6,BEST,-1
Brandon Ingram,TOR,SF,CHA,REB,6.0,BEST,-1
Scottie Barnes,TOR,PF,CHA,PTS,27.2,WORST,1
Scottie Barnes,TOR,PF,CHA,AST,6.0,WORST,1
Jakob Poeltl,TOR,C,CHA,REB,12.3,BEST,-1
Brandon Williams,DAL,PG,MIN,REB,7.6,WORST,1
Brandon Williams,DAL,PG,MIN,AST,9.7,WORST,1
Brandon Williams,DAL,PG,MIN,PRA,42.5,WORST,1
Donte DiVincenzo,MIN,PG,DAL,REB,8.0,WORST,1
Anthony Edwards,MIN,SG,DAL,REB,8.0,WORST,1
Jaden McDaniels,MIN,SF,DAL,PTS,19.8,BEST,-1
PJ Washington,DAL,PF,MIN,AST,3.3,BEST,-1
Daniel Gafford,DAL,C,MIN,AST,5.2,WORST,1
Jeremiah Fears,NOR,PG,OKC,PTS,19.1,BEST,-1
Jeremiah Fears,NOR,PG,OKC,AST,7.4,BEST,-1
Jeremiah Fears,NOR,PG,OKC,PRA,32.9,BEST,-1
Herb Jones,NOR,SG,OKC,AST,3.7,BEST,-1
Zion Williamson,NOR,PF,OKC,PTS,19.9,BEST,-1
Derik Queen,NOR,C,OKC,PTS,19.2,BEST,-1
Derik Queen,NOR,C,OKC,PRA,34.8,BEST,-1
Tim Hardaway Jr.,DEN,SG,CHI,PTS,20.5,BEST,-1
Tim Hardaway Jr.,DEN,SG,CHI,PRA,31.2,BEST,-1
Isaac Okoro,CHI,SF,DEN,REB,6.3,BEST,-1
Matas Buzelis,CHI,PF,DEN,REB,8.0,BEST,-1
Matas Buzelis,CHI,PF,DEN,PRA,33.7,BEST,-1
Aaron Gordon,DEN,PF,CHI,PTS,29.2,WORST,1
Aaron Gordon,DEN,PF,CHI,REB,13.8,WORST,1
Aaron Gordon,DEN,PF,CHI,PRA,48.0,WORST,1
Nikola Vucevic,CHI,C,DEN,AST,2.7,BEST,-1
