player,team,position,opponent,stat,opp_dvp_value,tier,edge_score
Jamal Murray,DEN,PG,IND,REB,6.9,WORST,1
Andrew Nembhard,IND,PG,DEN,REB,5.1,BEST,-1
Cam Johnson,DEN,SG,IND,REB,7.3,WORST,1
Cam Johnson,DEN,SG,IND,AST,4.7,BEST,-1
Peyton Watson,DEN,SF,IND,REB,9.3,WORST,1
Peyton Watson,DEN,SF,IND,PRA,37.7,WORST,1
Jarace Walker,IND,SF,DEN,REB,6.8,BEST,-1
Pascal Siakam,IND,PF,DEN,REB,8.7,BEST,-1
Nikola Jokic,DEN,C,IND,PTS,24.6,WORST,1
Nikola Jokic,DEN,C,IND,REB,16.2,WORST,1
Nikola Jokic,DEN,C,IND,PRA,45.1,WORST,1
Deni Avdija,POR,PG,CLE,REB,5.4,BEST,-1
Darius Garland Off Inj,CLE,PG,POR,AST,7.2,BEST,-1
Sidy Cissoko,POR,SG,CLE,PTS,21.9,BEST,-1
Sidy Cissoko,POR,SG,CLE,AST,5.0,BEST,-1
Sidy Cissoko,POR,SG,CLE,PRA,32.8,BEST,-1
Toumani Camara,POR,SF,CLE,PTS,23.9,WORST,1
Toumani Camara,POR,SF,CLE,REB,8.9,WORST,1
Toumani Camara,POR,SF,CLE,PRA,37.7,WORST,1
Jaylon Tyson,CLE,SF,POR,REB,9.7,WORST,1
Jaylon Tyson,CLE,SF,POR,AST,5.0,WORST,1
Jerami Grant,POR,PF,CLE,PTS,25.8,WORST,1
Jerami Grant,POR,PF,CLE,REB,12.3,WORST,1
Jerami Grant,POR,PF,CLE,PRA,42.6,WORST,1
De'Aaron Fox,SAS,PG,ORL,PTS,27.8,WORST,1
De'Aaron Fox,SAS,PG,ORL,PRA,42.2,WORST,1
Julian Champagnie,SAS,SF,ORL,REB,6.9,BEST,-1
Julian Champagnie,SAS,SF,ORL,AST,3.2,BEST,-1
Julian Champagnie,SAS,SF,ORL,PRA,31.2,BEST,-1
Harrison Barnes,SAS,PF,ORL,PTS,20.8,BEST,-1
Luke Kornet,SAS,C,ORL,PTS,19.5,BEST,-1
Luke Kornet,SAS,C,ORL,AST,3.0,BEST,-1
Luke Kornet,SAS,C,ORL,PRA,36.5,BEST,-1
James Harden,LAC,PG,ATL,REB,7.1,WORST,1
Nickeil Alexander-Walker,ATL,PG,LAC,AST,9.4,WORST,1
Kris Dunn,LAC,SG,ATL,AST,4.9,BEST,-1
Dyson Daniels,ATL,SG,LAC,PTS,26.8,WORST,1
Dyson Daniels,ATL,SG,LAC,PRA,39.3,WORST,1
Jalen Johnson,ATL,PF,LAC,PTS,20.5,BEST,-1
Jalen Johnson,ATL,PF,LAC,REB,9.2,BEST,-1
Jalen Johnson,ATL,PF,LAC,PRA,33.2,BEST,-1
Josh Hart,NYK,PF,CHA,AST,5.3,WORST,1
Karl-Anthony Towns,NYK,C,CHA,REB,12.7,BEST,-1
Karl-Anthony Towns,NYK,C,CHA,AST,4.7,WORST,1
Josh Giddey,CHI,PG,BKN,AST,9.3,WORST,1
Tyrese Martin,BKN,SG,CHI,PTS,21.5,BEST,-1
Tyrese Martin,BKN,SG,CHI,REB,5.7,BEST,-1
Tyrese Martin,BKN,SG,CHI,PRA,32.4,BEST,-1
Tre Jones,CHI,SG,BKN,REB,5.7,BEST,-1
Tre Jones,CHI,SG,BKN,AST,6.2,WORST,1
Noah Clowney,BKN,PF,CHI,PTS,28.6,WORST,1
Noah Clowney,BKN,PF,CHI,REB,13.1,WORST,1
Noah Clowney,BKN,PF,CHI,PRA,45.9,WORST,1
Matas Buzelis,CHI,PF,BKN,PTS,26.1,WORST,1
Matas Buzelis,CHI,PF,BKN,REB,11.9,WORST,1
Matas Buzelis,CHI,PF,BKN,PRA,42.6,WORST,1
Nicolas Claxton,BKN,C,CHI,PRA,44.2,WORST,1
Nikola Vucevic,CHI,C,BKN,AST,3.2,BEST,-1
Cade Cunningham,DET,PG,MIL,PTS,27.2,WORST,1
Cade Cunningham,DET,PG,MIL,PRA,41.9,WORST,1
Ryan Rollins,MIL,PG,DET,AST,7.1,BEST,-1
Ryan Rollins,MIL,PG,DET,PRA,35.9,BEST,-1
Duncan Robinson,DET,SG,MIL,REB,7.3,WORST,1
Duncan Robinson,DET,SG,MIL,AST,4.7,BEST,-1
Ausar Thompson,DET,SF,MIL,PTS,24.3,WORST,1
Ausar Thompson,DET,SF,MIL,AST,5.1,WORST,1
Ausar Thompson,DET,SF,MIL,PRA,37.9,WORST,1
AJ Green,MIL,SF,DET,PTS,19.7,BEST,-1
AJ Green,MIL,SF,DET,AST,3.6,BEST,-1
AJ Green,MIL,SF,DET,PRA,30.4,BEST,-1
Myles Turner,MIL,C,DET,PTS,19.2,BEST,-1
Myles Turner,MIL,C,DET,REB,12.7,BEST,-1
Myles Turner,MIL,C,DET,PRA,35.4,BEST,-1
Zach LaVine,SAC,SG,HOU,PTS,20.9,BEST,-1
Zach LaVine,SAC,SG,HOU,REB,5.5,BEST,-1
Zach LaVine,SAC,SG,HOU,PRA,31.7,BEST,-1
Amen Thompson,HOU,SG,SAC,PTS,25.8,WORST,1
Amen Thompson,HOU,SG,SAC,AST,7.4,WORST,1
Amen Thompson,HOU,SG,SAC,PRA,40.3,WORST,1
Kevin Durant,HOU,SF,SAC,PTS,20.3,BEST,-1
Kevin Durant,HOU,SF,SAC,AST,2.8,BEST,-1
Kevin Durant,HOU,SF,SAC,PRA,30.6,BEST,-1
Keegan Murray,SAC,PF,HOU,REB,9.1,BEST,-1
Keegan Murray,SAC,PF,HOU,AST,3.2,BEST,-1
Keegan Murray,SAC,PF,HOU,PRA,34.1,BEST,-1
Jabari Smith Jr.,HOU,PF,SAC,AST,4.9,WORST,1
Drew Eubanks,SAC,C,HOU,REB,11.7,BEST,-1
Alperen Sengun,HOU,C,SAC,PTS,26.8,WORST,1
Alperen Sengun,HOU,C,SAC,REB,16.6,WORST,1
Alperen Sengun,HOU,C,SAC,AST,4.9,WORST,1
Alperen Sengun,HOU,C,SAC,PRA,48.3,WORST,1
Davion Mitchell,MIA,PG,DAL,PTS,21.4,BEST,-1
Davion Mitchell,MIA,PG,DAL,REB,7.4,WORST,1
Ryan Nembhard,DAL,PG,MIA,REB,7.3,WORST,1
Ryan Nembhard,DAL,PG,MIA,AST,9.0,WORST,1
Ryan Nembhard,DAL,PG,MIA,PRA,41.2,WORST,1
Tyler Herro,MIA,SG,DAL,REB,8.3,WORST,1
Tyler Herro,MIA,SG,DAL,PRA,37.8,WORST,1
Max Christie,DAL,SG,MIA,REB,7.4,WORST,1
Norman Powell,MIA,SF,DAL,PTS,20.6,BEST,-1
Cooper Flagg,DAL,SF,MIA,REB,8.7,WORST,1
Andrew Wiggins,MIA,PF,DAL,AST,3.2,BEST,-1
PJ Washington,DAL,PF,MIA,REB,12.3,WORST,1
PJ Washington,DAL,PF,MIA,AST,3.5,BEST,-1
Bam Adebayo,MIA,C,DAL,PTS,24.8,WORST,1
Bam Adebayo,MIA,C,DAL,REB,16.1,WORST,1
Bam Adebayo,MIA,C,DAL,PRA,45.6,WORST,1
Anthony Davis,DAL,C,MIA,REB,16.2,WORST,1
