rank,player,team,games,games_started,mpg,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,reb,ast,stl,blk,tov,pf,pts,game_score,pr,pa,pra
1,Shai Gilgeous-Alexander,OKC,4.0,4.0,34.6,10.8,18.0,0.597,1.5,3.3,0.462,12.0,13.8,0.873,0.8,3.8,4.5,6.5,1.8,0.0,1.5,2.8,35.0,31.4,39.5,41.5,46.0
2,Luka Dončić,LAL,5.0,5.0,37.1,11.6,23.6,0.492,4.2,10.6,0.396,9.2,10.6,0.868,0.8,8.8,9.6,8.8,1.0,0.6,4.8,2.4,36.6,29.2,46.2,45.4,55.0
3,Anthony Edwards,MIN,4.0,4.0,38.4,12.5,22.5,0.556,4.8,9.5,0.5,6.5,8.3,0.788,1.0,4.0,5.0,5.0,0.8,0.5,3.3,2.0,36.3,27.3,41.3,41.3,46.3
4,Nikola Jokić,DEN,4.0,4.0,34.5,7.3,12.5,0.58,2.3,4.3,0.529,6.5,7.8,0.839,2.5,9.5,12.0,12.3,1.0,0.8,3.5,2.3,23.3,27.2,35.3,35.6,47.6
5,Giannis Antetokounmpo,MIL,3.0,3.0,26.2,10.7,15.3,0.696,0.3,1.7,0.2,6.7,11.0,0.606,2.7,7.3,10.0,4.7,1.3,0.3,3.3,4.3,28.3,24.0,38.3,33.0,43.0
6,Jalen Johnson,ATL,5.0,5.0,38.2,8.4,18.0,0.467,2.6,6.2,0.419,7.4,9.6,0.771,1.8,9.0,10.8,8.8,1.0,0.6,3.6,2.0,26.8,23.8,37.6,35.6,46.4
7,Jaylen Brown,BOS,4.0,4.0,37.2,11.5,25.8,0.447,2.5,7.0,0.357,6.5,8.8,0.743,1.8,6.3,8.0,7.8,2.3,0.8,4.0,3.3,32.0,23.7,40.0,39.8,47.8
8,Austin Reaves,LAL,5.0,5.0,37.9,9.0,15.0,0.6,3.2,6.8,0.471,6.8,7.4,0.919,1.0,6.2,7.2,4.2,1.0,0.2,3.0,2.0,28.0,23.7,35.2,32.2,39.4
9,Donovan Mitchell,CLE,5.0,5.0,35.0,11.6,22.6,0.513,4.4,10.6,0.415,3.8,4.4,0.864,1.2,4.4,5.6,6.2,1.2,0.0,3.2,2.4,31.4,23.5,37.0,37.6,43.2
10,Cade Cunningham,DET,5.0,5.0,37.7,10.8,22.0,0.491,1.8,5.4,0.333,7.0,8.6,0.814,2.4,6.4,8.8,7.6,1.8,1.0,5.8,3.0,30.4,23.1,39.2,38.0,46.8
11,Anthony Davis,DAL,2.0,2.0,30.4,9.5,16.5,0.576,1.0,2.5,0.4,2.0,2.5,0.8,3.0,6.0,9.0,4.5,0.5,2.5,0.0,2.0,22.0,22.6,31.0,26.5,35.5
12,CJ McCollum,WAS,3.0,3.0,34.0,11.0,19.7,0.559,5.0,9.7,0.517,1.3,2.3,0.571,0.0,3.3,3.3,3.7,1.3,0.0,0.7,1.0,28.3,22.4,31.6,32.0,35.3
13,Jimmy Butler,GSW,3.0,3.0,32.8,7.0,12.3,0.568,0.7,2.0,0.333,6.3,8.0,0.792,2.3,4.0,6.3,7.3,1.0,0.0,0.7,1.3,21.0,22.3,27.3,28.3,34.6
14,Kevin Durant,HOU,2.0,2.0,35.1,10.0,19.5,0.513,2.5,5.5,0.455,6.0,7.0,0.857,0.5,7.5,8.0,4.5,1.5,0.5,3.0,2.5,28.5,22.1,36.5,33.0,41.0
15,Kevin Porter Jr.,MIL,2.0,2.0,27.8,8.0,12.5,0.64,4.0,5.5,0.727,1.5,2.0,0.75,1.0,3.0,4.0,5.5,2.0,0.5,1.0,1.5,21.5,22.0,25.5,27.0,31.0
