date_local,time_local,away,home,network,spread,over_under,ml_home,ml_away,game_id
2025-12-03,7:00 PM,DEN,IND,"FanDuel SN IN, Altitude Sports",DEN -7.5,O/U 236.5,,,401810180
2025-12-03,7:00 PM,POR,CLE,"FanDuel SN OH, BlazerVision",CLE -10.5,O/U 238.5,,,401810179
2025-12-03,7:00 PM,SA,ORL,"FanDuel SN FL, FanDuel SN SW",ORL -7.5,O/U 234.5,,,401810181
2025-12-03,7:30 PM,CHA,NY,"FanDuel SN SE, MSG",NY -9.5,O/U 236.5,,,401810183
2025-12-03,7:30 PM,LAC,ATL,FanDuel SN SoCal,ATL -3.5,O/U 228.5,,,401810182
2025-12-03,8:00 PM,BKN,CHI,"CHSN, YES",CHI -8.5,O/U 232.5,,,401810184
2025-12-03,8:00 PM,DET,MIL,"FanDuel SN WI, FanDuel SN DET",DET -3.5,O/U 231.5,,,401810186
2025-12-03,8:00 PM,SAC,HOU,"Space City Home Network, NBC Sports CA",,O/U 230.5,,,401810185
2025-12-03,8:30 PM,MIA,DAL,"FanDuel SN Sun, KFAA-TV, NBA TV",MIA -4.5,O/U 240.5,,,401810187
