date_local,time_local,away,home,network,spread,over_under,ml_home,ml_away,game_id
2025-12-05,7:00 PM,LAL,BOS,"Prime Video, Spectrum Sports Net",BOS -6.5,O/U 223.5,,,401810193
2025-12-05,7:00 PM,MIA,ORL,"FanDuel SN Sun, FanDuel SN FL",,O/U 242.5,,,401810194
2025-12-05,7:30 PM,CHA,TOR,"TSN, FanDuel SN SE",TOR -8.5,O/U 231.5,,,401810199
2025-12-05,7:30 PM,DEN,ATL,"FanDuel SN SE, Altitude Sports",DEN -6.5,O/U 237.5,,,401810195
2025-12-05,7:30 PM,POR,DET,"FanDuel SN DET, KUNP 16",DET -7.5,O/U 236.5,,,401810197
2025-12-05,7:30 PM,SA,CLE,"FanDuel SN OH, FanDuel SN SW",CLE -5.5,O/U 238.5,,,401810196
2025-12-05,7:30 PM,UTAH,NY,"MSG, KJZZ-TV",,O/U 240.5,,,401810198
2025-12-05,8:00 PM,IND,CHI,"CHSN, FanDuel SN IN",CHI -4.5,O/U 238.5,,,401810200
2025-12-05,8:00 PM,LAC,MEM,"FanDuel SN SE, FanDuel SN SoCal",LAC -1.5,O/U 223.5,,,401810202
2025-12-05,8:00 PM,PHI,MIL,"FanDuel SN WI, NBC Sports Phil",PHI -1.5,O/U 223.5,,,401810203
2025-12-05,8:00 PM,PHX,HOU,"Space City Home Network, Arizona's Family 3TV",HOU -11.5,O/U 223.5,,,401810201
2025-12-05,9:30 PM,DAL,OKC,Prime Video,OKC -14.5,O/U 228.5,,,401810204
