rank,player,team,games,games_started,mpg,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,reb,ast,stl,blk,tov,pf,pts,game_score,pr,pa,pra
1,Luka Dončić,LAL,4.0,4.0,36.3,12.0,23.5,0.511,4.5,10.3,0.439,9.0,10.3,0.878,1.0,8.3,9.3,9.0,0.5,0.8,4.5,2.5,37.5,30.4,46.8,46.5,55.8
2,Shai Gilgeous-Alexander,OKC,4.0,4.0,36.0,10.8,18.8,0.573,2.3,4.0,0.563,11.5,14.0,0.821,0.3,3.8,4.0,5.8,1.5,0.0,1.3,2.5,35.3,30.0,39.3,41.1,45.1
3,Deni Avdija,POR,4.0,4.0,37.5,7.3,14.5,0.5,2.3,6.0,0.375,13.3,17.3,0.768,1.3,9.0,10.3,9.8,0.5,0.3,3.8,2.8,30.0,27.4,40.3,39.8,50.1
4,Michael Porter Jr.,BRK,2.0,2.0,34.8,11.5,22.0,0.523,6.0,11.5,0.522,5.0,7.0,0.714,1.5,7.0,8.5,4.5,2.0,0.5,2.5,3.5,34.0,27.2,42.5,38.5,47.0
5,Nikola Jokić,DEN,4.0,4.0,34.9,8.3,14.5,0.569,1.8,4.3,0.412,6.8,7.8,0.871,2.5,9.0,11.5,11.5,0.5,1.0,3.8,2.5,25.0,26.7,36.5,36.5,48.0
6,Anthony Edwards,MIN,4.0,4.0,40.2,12.5,22.8,0.549,5.0,10.0,0.5,6.5,8.3,0.788,0.8,3.8,4.5,5.0,0.0,0.5,3.3,2.8,36.5,26.0,41.0,41.5,46.0
7,Austin Reaves,LAL,4.0,4.0,37.3,9.5,14.5,0.655,3.8,6.5,0.577,6.8,7.3,0.931,1.0,5.5,6.5,4.3,1.0,0.3,3.0,2.0,29.5,25.7,36.0,33.8,40.3
8,Jamal Murray,DEN,4.0,4.0,33.8,10.8,17.8,0.606,5.5,8.0,0.688,3.8,4.3,0.882,0.5,3.8,4.3,6.0,0.8,0.3,2.8,1.8,30.8,25.6,35.1,36.8,41.1
9,Jaylen Brown,BOS,4.0,4.0,37.8,12.0,25.3,0.475,2.5,7.0,0.357,7.3,9.3,0.784,1.5,6.5,8.0,6.8,2.3,0.8,4.8,3.3,33.8,24.5,41.8,40.6,48.6
10,Tyrese Maxey,PHI,4.0,4.0,38.7,10.3,22.0,0.466,2.3,8.8,0.257,7.5,8.5,0.882,0.0,5.3,5.3,6.5,1.5,0.8,2.0,2.0,30.3,23.9,35.6,36.8,42.1
11,Donovan Mitchell,CLE,4.0,4.0,35.7,12.5,24.3,0.515,4.3,11.3,0.378,4.8,5.5,0.864,1.3,4.8,6.0,5.5,1.3,0.0,4.0,3.5,34.0,23.7,40.0,39.5,45.5
12,Alperen Şengün,HOU,4.0,4.0,32.7,10.0,18.0,0.556,0.3,2.3,0.111,5.3,7.3,0.724,2.8,4.3,7.0,7.0,2.0,1.3,2.3,3.5,25.5,23.4,32.5,32.5,39.5
13,Jalen Johnson,ATL,4.0,4.0,37.9,7.8,17.0,0.456,2.8,6.8,0.407,8.3,10.8,0.767,2.0,9.5,11.5,8.3,1.0,0.8,4.5,2.5,26.5,22.8,38.0,34.8,46.3
14,Kevin Durant,HOU,3.0,3.0,34.0,9.7,18.3,0.527,2.0,5.0,0.4,5.7,6.3,0.895,0.3,6.0,6.3,5.7,1.0,0.7,2.0,2.0,27.0,22.4,33.3,32.7,39.0
15,Cade Cunningham,DET,5.0,5.0,37.6,10.2,21.4,0.477,2.0,6.4,0.313,6.6,7.8,0.846,1.8,6.2,8.0,7.8,2.0,1.0,5.6,2.4,29.0,22.3,37.0,36.8,44.8
16,Josh Giddey,CHI,4.0,4.0,34.6,8.3,14.3,0.579,2.0,5.0,0.4,4.5,6.8,0.667,1.0,9.5,10.5,8.3,1.0,0.3,3.5,1.0,23.0,22.0,33.5,31.3,41.8
17,Alex Sarr,WAS,2.0,2.0,35.2,9.5,17.0,0.559,1.0,3.0,0.333,5.5,10.0,0.55,2.5,7.5,10.0,0.5,2.0,2.0,1.0,1.5,25.5,21.8,35.5,26.0,36.0
