player,team,position,opponent,stat,opp_dvp_value,tier,edge_score
Harrison Barnes,SAS,PF,CLE,REB,12.2118,WORST,1
Harrison Barnes,SAS,PF,CLE,PRA,42.5914,WORST,1
Luke Kornet,SAS,C,CLE,PTS,19.36,BEST,-1
Nickeil Alexander-Walker,ATL,PG,DEN,REB,5.13,BEST,-1
Cam Johnson,DEN,SG,ATL,PTS,25.4133,WORST,1
Zaccharie Risacher,ATL,SF,DEN,REB,6.95,BEST,-1
Jalen Johnson,ATL,PF,DEN,REB,8.787,BEST,-1
Kon Knueppel,CHA,SG,TOR,PTS,22.353,BEST,-1
Kon Knueppel,CHA,SG,TOR,REB,5.811,BEST,-1
Kon Knueppel,CHA,SG,TOR,PRA,33.5744,BEST,-1
Brandon Ingram,TOR,SF,CHA,AST,5.089,WORST,1
Scottie Barnes,TOR,PF,CHA,PTS,25.313,WORST,1
Scottie Barnes,TOR,PF,CHA,AST,5.3103,WORST,1
Jakob Poeltl,TOR,C,CHA,REB,12.7121,BEST,-1
Deni Avdija,POR,PG,DET,AST,7.2122,BEST,-1
Cade Cunningham,DET,PG,POR,AST,7.2121,BEST,-1
Toumani Camara,POR,SF,DET,PTS,19.71,BEST,-1
Toumani Camara,POR,SF,DET,AST,3.618,BEST,-1
Toumani Camara,POR,SF,DET,PRA,30.49,BEST,-1
Ausar Thompson,DET,SF,POR,REB,9.699,WORST,1
Donovan Clingan,POR,C,DET,REB,12.9122,BEST,-1
Donovan Clingan,POR,C,DET,PRA,35.8062,BEST,-1
Jalen Duren,DET,C,POR,PTS,24.2102,WORST,1
Josh Giddey,CHI,PG,IND,REB,7.057,WORST,1
Bennedict Mathurin,IND,SG,CHI,PTS,21.232,BEST,-1
Bennedict Mathurin,IND,SG,CHI,REB,5.68,BEST,-1
Bennedict Mathurin,IND,SG,CHI,PRA,32.122,BEST,-1
Coby White,CHI,SG,IND,REB,7.369,WORST,1
Coby White,CHI,SG,IND,AST,4.668,BEST,-1
Jarace Walker,IND,SF,CHI,PRA,37.154,WORST,1
Ayo Dosunmu,CHI,SF,IND,REB,9.191,WORST,1
Pascal Siakam,IND,PF,CHI,PTS,28.615,WORST,1
Pascal Siakam,IND,PF,CHI,REB,12.9123,WORST,1
Pascal Siakam,IND,PF,CHI,PRA,45.7713,WORST,1
Jay Huff,IND,C,CHI,AST,4.875,WORST,1
Nikola Vucevic,CHI,C,IND,PTS,25.012,WORST,1
Nikola Vucevic,CHI,C,IND,REB,15.8146,WORST,1
Nikola Vucevic,CHI,C,IND,AST,4.979,WORST,1
Nikola Vucevic,CHI,C,IND,PRA,45.8056,WORST,1
James Harden,LAC,PG,MEM,PTS,28.3147,WORST,1
James Harden,LAC,PG,MEM,PRA,42.5682,WORST,1
Jaylen Wells,MEM,SG,LAC,PTS,26.6142,WORST,1
Jaylen Wells,MEM,SG,LAC,PRA,39.1719,WORST,1
Kawhi Leonard,LAC,SF,MEM,PTS,24.3106,WORST,1
Kawhi Leonard,LAC,SF,MEM,AST,5.197,WORST,1
Kawhi Leonard,LAC,SF,MEM,PRA,37.3826,WORST,1
John Collins,LAC,PF,MEM,PTS,19.25,BEST,-1
John Collins,LAC,PF,MEM,PRA,33.7977,BEST,-1
Jaren Jackson Jr.,MEM,PF,LAC,PTS,20.214,BEST,-1
Jaren Jackson Jr.,MEM,PF,LAC,REB,9.292,BEST,-1
Jaren Jackson Jr.,MEM,PF,LAC,AST,3.415,BEST,-1
Jaren Jackson Jr.,MEM,PF,LAC,PRA,32.921,BEST,-1
Ivica Zubac,LAC,C,MEM,AST,5.299,WORST,1
Tyrese Maxey,PHI,PG,MIL,PTS,26.8144,WORST,1
Tyrese Maxey,PHI,PG,MIL,PRA,41.5587,WORST,1
VJ Edgecombe,PHI,SG,MIL,REB,7.472,WORST,1
VJ Edgecombe,PHI,SG,MIL,AST,4.876,BEST,-1
Kevin Porter Jr.,MIL,SG,PHI,PTS,25.7135,WORST,1
Kevin Porter Jr.,MIL,SG,PHI,AST,5.9116,WORST,1
Kevin Porter Jr.,MIL,SG,PHI,PRA,38.1631,WORST,1
Paul George,PHI,SF,MIL,PTS,24.095,WORST,1
Paul George,PHI,SF,MIL,PRA,37.56,WORST,1
AJ Green,MIL,SF,PHI,REB,8.788,WORST,1
Myles Turner,MIL,C,PHI,AST,2.62,BEST,-1
Kevin Durant,HOU,SF,PHO,PTS,20.113,BEST,-1
Kevin Durant,HOU,SF,PHO,REB,6.953,BEST,-1
Kevin Durant,HOU,SF,PHO,PRA,31.42,BEST,-1
Jabari Smith Jr.,HOU,PF,PHO,REB,9.293,BEST,-1
Mark Williams,PHO,C,HOU,REB,11.5116,BEST,-1
Ryan Nembhard,DAL,PG,OKC,PTS,20.316,BEST,-1
Ryan Nembhard,DAL,PG,OKC,AST,7.012,BEST,-1
Ryan Nembhard,DAL,PG,OKC,PRA,33.762,BEST,-1
Shai Gilgeous-Alexander,OKC,PG,DAL,REB,7.37,WORST,1
Max Christie,DAL,SG,OKC,AST,4.353,BEST,-1
Ajay Mitchell,OKC,SG,DAL,REB,8.077,WORST,1
Ajay Mitchell,OKC,SG,DAL,AST,5.085,BEST,-1
Cason Wallace,OKC,SF,DAL,PTS,20.317,BEST,-1
PJ Washington,DAL,PF,OKC,PTS,20.623,BEST,-1
Jalen Williams,OKC,PF,DAL,REB,9.394,BEST,-1
Jalen Williams,OKC,PF,DAL,AST,3.29,BEST,-1
Anthony Davis,DAL,C,OKC,PTS,18.42,BEST,-1
Anthony Davis,DAL,C,OKC,REB,13.0124,BEST,-1
Anthony Davis,DAL,C,OKC,AST,3.16,BEST,-1
Anthony Davis,DAL,C,OKC,PRA,34.5924,BEST,-1
Chet Holmgren,OKC,C,DAL,PTS,25.6134,WORST,1
Chet Holmgren,OKC,C,DAL,REB,16.1147,WORST,1
Chet Holmgren,OKC,C,DAL,PRA,46.3931,WORST,1
