player,team,position,opponent,stat,opp_dvp_value,tier,edge_score
Davion Mitchell,MIA,PG,ORL,PTS,28.6149,WORST,1
Davion Mitchell,MIA,PG,ORL,PRA,43.3579,WORST,1
Jalen Suggs,ORL,PG,MIA,REB,7.366,WORST,1
Jalen Suggs,ORL,PG,MIA,AST,9.2149,WORST,1
Tyler Herro,MIA,SG,ORL,AST,4.978,BEST,-1
Desmond Bane,ORL,SG,MIA,REB,7.367,WORST,1
Norman Powell,MIA,SF,ORL,AST,3.18,BEST,-1
Norman Powell,MIA,SF,ORL,PRA,31.37,BEST,-1
Andrew Wiggins,MIA,PF,ORL,PTS,20.418,BEST,-1
Andrew Wiggins,MIA,PF,ORL,PRA,34.5566,BEST,-1
Paolo Banchero,ORL,PF,MIA,REB,12.2119,WORST,1
Bam Adebayo,MIA,C,ORL,PTS,19.14,BEST,-1
Bam Adebayo,MIA,C,ORL,AST,3.15,BEST,-1
Bam Adebayo,MIA,C,ORL,PRA,36.2033,BEST,-1
Wendell Carter Jr.,ORL,C,MIA,REB,16.7148,WORST,1
Gabe Vincent,LAL,PG,BOS,PTS,20.012,BEST,-1
Gabe Vincent,LAL,PG,BOS,REB,5.45,BEST,-1
Gabe Vincent,LAL,PG,BOS,PRA,34.1763,BEST,-1
Derrick White,BOS,PG,LAL,REB,4.51,BEST,-1
Payton Pritchard,BOS,SG,LAL,AST,5.9118,WORST,1
Rui Hachimura,LAL,SF,BOS,REB,8.686,WORST,1
Rui Hachimura,LAL,SF,BOS,AST,3.312,BEST,-1
Jaylen Brown,BOS,SF,LAL,PTS,26.2139,WORST,1
Jaylen Brown,BOS,SF,LAL,AST,3.517,BEST,-1
LeBron James,LAL,PF,BOS,AST,3.311,BEST,-1
Jordan Walsh,BOS,PF,LAL,AST,5.196,WORST,1
Neemias Queta,BOS,C,LAL,PTS,15.21,BEST,-1
Neemias Queta,BOS,C,LAL,REB,12.512,BEST,-1
Neemias Queta,BOS,C,LAL,PRA,31.652,BEST,-1
Mikal Bridges,NYK,SG,UTA,PTS,27.3145,WORST,1
Mikal Bridges,NYK,SG,UTA,AST,5.9117,WORST,1
Mikal Bridges,NYK,SG,UTA,PRA,40.0712,WORST,1
Josh Hart,NYK,SF,UTA,REB,6.952,BEST,-1
Josh Hart,NYK,SF,UTA,AST,5.8115,WORST,1
De'Aaron Fox,SAS,PG,CLE,REB,5.46,BEST,-1
Devin Vassell,SAS,SG,CLE,PTS,22.152,BEST,-1
Devin Vassell,SAS,SG,CLE,PRA,33.368,BEST,-1
Julian Champagnie,SAS,SF,CLE,PTS,24.2103,WORST,1
Julian Champagnie,SAS,SF,CLE,REB,8.99,WORST,1
Julian Champagnie,SAS,SF,CLE,AST,5.086,WORST,1
Julian Champagnie,SAS,SF,CLE,PRA,38.2863,WORST,1
Harrison Barnes,SAS,PF,CLE,PTS,25.7136,WORST,1
