date_local,time_local,away,home,network,spread,over_under,ml_home,ml_away,game_id
2025-11-29,10:00 PM,DAL,LAC,"KFAA-TV, FanDuel SN SoCal",LAC -6.5,O/U 219.5,-260,215,401810155
2025-11-29,5:00 PM,BOS,MIN,"FanDuel SN North, NBC Sports BO, NBA TV",MIN -6.5,O/U 227.5,-250,210,401810148
2025-11-29,6:00 PM,TOR,CHA,"FanDuel SN SE, TSN",TOR -8.5,O/U 230.5,280,-360,401810149
2025-11-29,7:30 PM,CHI,IND,"CHSN, FanDuel SN IN",CHI -3.5,O/U 244.5,145,-170,401810150
2025-11-29,8:00 PM,BKN,MIL,"YES, FanDuel SN WI",MIL -10.5,O/U 224.5,-550,380,401810152
2025-11-29,8:00 PM,DET,MIA,FanDuel SN DET Ext,MIA -3.5,O/U 238.5,-145,125,401810151
2025-11-29,8:30 PM,NO,GS,"GCSEN, NBC Sports BA, NBA TV",GS -8.5,O/U 224.5,-320,260,401810153
2025-11-29,9:00 PM,DEN,PHX,"Altitude Sports, Arizona's Family 3TV",DEN -4.5,O/U 233.5,165,-195,401810154
