player,team,position,opponent,stat,opp_dvp_value,tier,edge_score,,,,
Derrick White,BOS,PG,MIN,REB,7.6,WORST,1,o4.5,122,,1
Donte DiVincenzo,MIN,PG,BOS,PTS,20.5,BEST,-1,,,,
Donte DiVincenzo,MIN,PG,BOS,REB,5.5,BEST,-1,,,,
Donte DiVincenzo,MIN,PG,BOS,PRA,34.5,BEST,-1,u16.5 PR,-125,alt u25.5,
Payton Pritchard,BOS,SG,MIN,PTS,22.2,BEST,-1,,,,
Payton Pritchard,BOS,SG,MIN,REB,5.5,BEST,-1,,,,
Payton Pritchard,BOS,SG,MIN,PRA,32.7,BEST,-1,,,,
Anthony Edwards,MIN,SG,BOS,REB,7.6,WORST,1,,,,
Jaden McDaniels,MIN,SF,BOS,AST,3.3,BEST,-1,,,,
Jordan Walsh,BOS,PF,MIN,AST,3.3,BEST,-1,,,,
Julius Randle,MIN,PF,BOS,AST,3.2,BEST,-1,,,,
Kon Knueppel,CHA,SG,TOR,PRA,33.6,BEST,-1,u26.5,-117,,
Brandon Ingram,TOR,SF,CHA,REB,6.3,BEST,-1,,,,
Scottie Barnes,TOR,PF,CHA,AST,5.4,WORST,1,,,,
Jakob Poeltl,TOR,C,CHA,REB,12.3,BEST,-1,u9.5,-135,,0.65
Josh Giddey,CHI,PG,IND,REB,7.1,WORST,1,o8.5,-122,,1
Coby White,CHI,SG,IND,PTS,22,BEST,-1,,,,
Coby White,CHI,SG,IND,AST,4.6,BEST,-1,,,,
Bennedict Mathurin,IND,SG,CHI,PTS,20.7,BEST,-1,u24.5,-115,,0.575
Bennedict Mathurin,IND,SG,CHI,REB,5.6,BEST,-1,u5.5,118,,0.75
Bennedict Mathurin,IND,SG,CHI,PRA,31.5,BEST,-1,u32.5,-108,,0.75
Kevin Huerter,CHI,SF,IND,REB,9,WORST,1,,,,
Kevin Huerter,CHI,SF,IND,PRA,37.3,WORST,1,,,,
Jarace Walker,IND,SF,CHI,AST,5.1,WORST,1,,,,
Pascal Siakam,IND,PF,CHI,PTS,29.8,WORST,1,o24.5,-122,,
Pascal Siakam,IND,PF,CHI,REB,13.2,WORST,1,o6.5,-120,,0.6
Pascal Siakam,IND,PF,CHI,PRA,47.4,WORST,1,,,,
Nikola Vucevic,CHI,C,IND,PTS,24.6,WORST,1,,,,
Nikola Vucevic,CHI,C,IND,REB,16.5,WORST,1,,,,
Nikola Vucevic,CHI,C,IND,PRA,45.3,WORST,1,,,,
Jay Huff,IND,C,CHI,PTS,24,WORST,1,,,,
Jay Huff,IND,C,CHI,REB,16.5,WORST,1,,,,
Jay Huff,IND,C,CHI,PRA,45,WORST,1,,,,
Cade Cunningham,DET,PG,MIA,REB,7.6,WORST,1,o6.5,120,,0.75
Davion Mitchell,MIA,PG,DET,AST,6.8,BEST,-1,,,,
Duncan Robinson,DET,SG,MIA,REB,7.3,WORST,1,,,,
Duncan Robinson,DET,SG,MIA,AST,6,WORST,1,o1.5,-155,,
Ausar Thompson,DET,SF,MIA,REB,8.9,WORST,1,,,,
Norman Powell,MIA,SF,DET,PTS,19.2,BEST,-1,,,,
Norman Powell,MIA,SF,DET,AST,3.6,BEST,-1,,,,
Norman Powell,MIA,SF,DET,PRA,29.9,BEST,-1,,,,
Tobias Harris,DET,PF,MIA,PTS,25.1,WORST,1,o12.5,-107,,
Tobias Harris,DET,PF,MIA,REB,12.2,WORST,1,,,,
Tobias Harris,DET,PF,MIA,AST,3.4,BEST,-1,,,,
Jalen Duren,DET,C,MIA,REB,16.2,WORST,1,o10.5,-120,,0.6
Bam Adebayo,MIA,C,DET,PTS,18.5,BEST,-1,u18.5,-105,,1
Bam Adebayo,MIA,C,DET,REB,12.8,BEST,-1,,,,
Bam Adebayo,MIA,C,DET,PRA,34.9,BEST,-1,u30.5,-110,,
Egor Demin,BKN,PG,MIL,PTS,27.7,WORST,1,,,,
Egor Demin,BKN,PG,MIL,PRA,42.9,WORST,1,,,,
Ryan Rollins,MIL,PG,BKN,AST,8.9,WORST,1,,,,
Terance Mann,BKN,SG,MIL,AST,4.9,BEST,-1,,,,
Gary Trent,MIL,SG,BKN,REB,5.6,BEST,-1,,,,
Gary Trent,MIL,SG,BKN,AST,6.3,WORST,1,,,,
Michael Porter Jr.,BKN,SF,MIL,PTS,24,WORST,1,,,,
Michael Porter Jr.,BKN,SF,MIL,PRA,37.6,WORST,1,,,,
AJ Green,MIL,SF,BKN,PRA,37.6,WORST,1,o17.5,-115,,action
Kyle Kuzma,MIL,PF,BKN,PTS,25.2,WORST,1,,,,
Kyle Kuzma,MIL,PF,BKN,REB,12,WORST,1,,,,
Kyle Kuzma,MIL,PF,BKN,AST,4.9,WORST,1,,,,
Kyle Kuzma,MIL,PF,BKN,PRA,42.1,WORST,1,o19.5,-120,,action
Myles Turner,MIL,C,BKN,AST,3.2,BEST,-1,o1.5,110,alt 1+,
Jamal Murray,DEN,PG,PHO,AST,7.8,BEST,-1,,,,
Cam Johnson,DEN,SG,PHO,PTS,26,WORST,1,o14.5,-112,,1
Peyton Watson,DEN,SF,PHO,PTS,20,BEST,-1,,,,
Peyton Watson,DEN,SF,PHO,PRA,31.4,BEST,-1,,,,
Dillon Brooks,PHO,SF,DEN,REB,6.4,BEST,-1,,,,
Royce O'Neale,PHO,PF,DEN,REB,8.6,BEST,-1,u5.5,-125,,
Royce O'Neale,PHO,PF,DEN,PRA,34.7,BEST,-1,u19.5,-118,,1
Ryan Nembhard,DAL,PG,LAC,AST,9.1,WORST,1,,,,
Ryan Nembhard,DAL,PG,LAC,PRA,41.1,WORST,1,,,,
James Harden,LAC,PG,DAL,PTS,21.5,BEST,-1,u26.5,-115,,
James Harden,LAC,PG,DAL,REB,7.8,WORST,1,o5.5,102,,1
Max Christie,DAL,SG,LAC,PTS,26.8,WORST,1,o11.5,-101,,1
Max Christie,DAL,SG,LAC,REB,7.2,WORST,1,,,,
Max Christie,DAL,SG,LAC,PRA,39.8,WORST,1,,,,
Kris Dunn,LAC,SG,DAL,REB,8.1,WORST,1,,,,
Kris Dunn,LAC,SG,DAL,AST,4.9,BEST,-1,,,,
Kobe Sanders,LAC,SF,DAL,PTS,19.9,BEST,-1,,,,
PJ Washington,DAL,PF,LAC,PTS,19.1,BEST,-1,,,,
PJ Washington,DAL,PF,LAC,REB,9.1,BEST,-1,,,,
PJ Washington,DAL,PF,LAC,AST,3.3,BEST,-1,,,,
PJ Washington,DAL,PF,LAC,PRA,31.5,BEST,-1,,,,
Ivica Zubac,LAC,C,DAL,PTS,24.4,WORST,1,,,,
Ivica Zubac,LAC,C,DAL,PRA,44.7,WORST,1,,,,
