date,game_time,away_team,home_team,fav,spread,total,team,opp,home_away,position,player,status
2025-11-29,5:00 PM ET,BOS,MIN,MIN,6.5,227.0,BOS,MIN,A,PG,Derrick White,P
2025-11-29,5:00 PM ET,BOS,MIN,MIN,6.5,227.0,MIN,BOS,H,PG,Donte DiVincenzo,
2025-11-29,5:00 PM ET,BOS,MIN,MIN,6.5,227.0,BOS,MIN,A,SG,Payton Pritchard,
2025-11-29,5:00 PM ET,BOS,MIN,MIN,6.5,227.0,MIN,BOS,H,SG,Anthony Edwards,
2025-11-29,5:00 PM ET,BOS,MIN,MIN,6.5,227.0,BOS,MIN,A,SF,Jaylen Brown,Q
2025-11-29,5:00 PM ET,BOS,MIN,MIN,6.5,227.0,MIN,BOS,H,SF,Jaden McDaniels,
2025-11-29,5:00 PM ET,BOS,MIN,MIN,6.5,227.0,BOS,MIN,A,PF,Jordan Walsh,
2025-11-29,5:00 PM ET,BOS,MIN,MIN,6.5,227.0,MIN,BOS,H,PF,Julius Randle,
2025-11-29,5:00 PM ET,BOS,MIN,MIN,6.5,227.0,BOS,MIN,A,C,Neemias Queta,Q
2025-11-29,5:00 PM ET,BOS,MIN,MIN,6.5,227.0,MIN,BOS,H,C,Rudy Gobert,
2025-11-29,6:00 PM ET,TOR,CHA,TOR,8.5,231.0,TOR,CHA,A,PG,Immanuel Quickley,
2025-11-29,6:00 PM ET,TOR,CHA,TOR,8.5,231.0,CHA,TOR,H,PG,Collin Sexton,
2025-11-29,6:00 PM ET,TOR,CHA,TOR,8.5,231.0,TOR,CHA,A,SG,Ja'Kobe Walter,
2025-11-29,6:00 PM ET,TOR,CHA,TOR,8.5,231.0,CHA,TOR,H,SG,Kon Knueppel,
2025-11-29,6:00 PM ET,TOR,CHA,TOR,8.5,231.0,TOR,CHA,A,SF,Brandon Ingram,
2025-11-29,6:00 PM ET,TOR,CHA,TOR,8.5,231.0,CHA,TOR,H,SF,Sion James,
2025-11-29,6:00 PM ET,TOR,CHA,TOR,8.5,231.0,TOR,CHA,A,PF,Scottie Barnes,
2025-11-29,6:00 PM ET,TOR,CHA,TOR,8.5,231.0,CHA,TOR,H,PF,Miles Bridges,
2025-11-29,6:00 PM ET,TOR,CHA,TOR,8.5,231.0,TOR,CHA,A,C,Jakob Poeltl,
2025-11-29,6:00 PM ET,TOR,CHA,TOR,8.5,231.0,CHA,TOR,H,C,Ryan Kalkbrenner,
2025-11-29,7:30 PM ET,CHI,IND,CHI,3.5,243.5,CHI,IND,A,PG,Josh Giddey,
2025-11-29,7:30 PM ET,CHI,IND,CHI,3.5,243.5,IND,CHI,H,PG,Andrew Nembhard,Q
2025-11-29,7:30 PM ET,CHI,IND,CHI,3.5,243.5,CHI,IND,A,SG,Coby White,Q
2025-11-29,7:30 PM ET,CHI,IND,CHI,3.5,243.5,IND,CHI,H,SG,Bennedict Mathurin,
2025-11-29,7:30 PM ET,CHI,IND,CHI,3.5,243.5,CHI,IND,A,SF,Kevin Huerter,
2025-11-29,7:30 PM ET,CHI,IND,CHI,3.5,243.5,IND,CHI,H,SF,Jarace Walker,
2025-11-29,7:30 PM ET,CHI,IND,CHI,3.5,243.5,CHI,IND,A,PF,Matas Buzelis,
2025-11-29,7:30 PM ET,CHI,IND,CHI,3.5,243.5,IND,CHI,H,PF,Pascal Siakam,
2025-11-29,7:30 PM ET,CHI,IND,CHI,3.5,243.5,CHI,IND,A,C,Nikola Vucevic,
2025-11-29,7:30 PM ET,CHI,IND,CHI,3.5,243.5,IND,CHI,H,C,Jay Huff,
2025-11-29,8:00 PM ET,DET,MIA,MIA,3.0,239.0,DET,MIA,A,PG,Cade Cunningham,
2025-11-29,8:00 PM ET,DET,MIA,MIA,3.0,239.0,MIA,DET,H,PG,Davion Mitchell,
2025-11-29,8:00 PM ET,DET,MIA,MIA,3.0,239.0,DET,MIA,A,SG,Duncan Robinson,
2025-11-29,8:00 PM ET,DET,MIA,MIA,3.0,239.0,MIA,DET,H,SG,Tyler Herro,IN
2025-11-29,8:00 PM ET,DET,MIA,MIA,3.0,239.0,DET,MIA,A,SF,Ausar Thompson,
2025-11-29,8:00 PM ET,DET,MIA,MIA,3.0,239.0,MIA,DET,H,SF,Norman Powell,P
2025-11-29,8:00 PM ET,DET,MIA,MIA,3.0,239.0,DET,MIA,A,PF,Tobias Harris,
2025-11-29,8:00 PM ET,DET,MIA,MIA,3.0,239.0,MIA,DET,H,PF,Andrew Wiggins,P
2025-11-29,8:00 PM ET,DET,MIA,MIA,3.0,239.0,DET,MIA,A,C,Jalen Duren,
2025-11-29,8:00 PM ET,DET,MIA,MIA,3.0,239.0,MIA,DET,H,C,Bam Adebayo,
2025-11-29,8:00 PM ET,BKN,MIL,MIL,11.0,224.0,BKN,MIL,A,PG,Egor Demin,
2025-11-29,8:00 PM ET,BKN,MIL,MIL,11.0,224.0,MIL,BKN,H,PG,Ryan Rollins,
2025-11-29,8:00 PM ET,BKN,MIL,MIL,11.0,224.0,BKN,MIL,A,SG,Terance Mann,
2025-11-29,8:00 PM ET,BKN,MIL,MIL,11.0,224.0,MIL,BKN,H,SG,Gary Trent,
2025-11-29,8:00 PM ET,BKN,MIL,MIL,11.0,224.0,BKN,MIL,A,SF,Michael Porter Jr.,Q
2025-11-29,8:00 PM ET,BKN,MIL,MIL,11.0,224.0,MIL,BKN,H,SF,AJ Green,
2025-11-29,8:00 PM ET,BKN,MIL,MIL,11.0,224.0,BKN,MIL,A,PF,Noah Clowney,
2025-11-29,8:00 PM ET,BKN,MIL,MIL,11.0,224.0,MIL,BKN,H,PF,Kyle Kuzma,
2025-11-29,8:00 PM ET,BKN,MIL,MIL,11.0,224.0,BKN,MIL,A,C,Nicolas Claxton,
2025-11-29,8:00 PM ET,BKN,MIL,MIL,11.0,224.0,MIL,BKN,H,C,Myles Turner,
2025-11-29,8:30 PM ET,NOR,GSW,GSW,8.0,224.0,NOR,GSW,A,PG,Jeremiah Fears,
2025-11-29,8:30 PM ET,NOR,GSW,GSW,8.0,224.0,GSW,NOR,H,PG,Brandin Podziemski,
2025-11-29,8:30 PM ET,NOR,GSW,GSW,8.0,224.0,NOR,GSW,A,SG,Trey Murphy,Q
2025-11-29,8:30 PM ET,NOR,GSW,GSW,8.0,224.0,GSW,NOR,H,SG,Moses Moody,
2025-11-29,8:30 PM ET,NOR,GSW,GSW,8.0,224.0,NOR,GSW,A,SF,Saddiq Bey,
2025-11-29,8:30 PM ET,NOR,GSW,GSW,8.0,224.0,GSW,NOR,H,SF,Jimmy Butler,
2025-11-29,8:30 PM ET,NOR,GSW,GSW,8.0,224.0,NOR,GSW,A,PF,Zion Williamson Off Inj,
2025-11-29,8:30 PM ET,NOR,GSW,GSW,8.0,224.0,GSW,NOR,H,PF,Jonathan Kuminga,Q
2025-11-29,8:30 PM ET,NOR,GSW,GSW,8.0,224.0,NOR,GSW,A,C,Derik Queen,
2025-11-29,8:30 PM ET,NOR,GSW,GSW,8.0,224.0,GSW,NOR,H,C,Draymond Green,
2025-11-29,9:00 PM ET,DEN,PHO,DEN,5.0,233.5,DEN,PHO,A,PG,Jamal Murray,
2025-11-29,9:00 PM ET,DEN,PHO,DEN,5.0,233.5,PHO,DEN,H,PG,Devin Booker,
2025-11-29,9:00 PM ET,DEN,PHO,DEN,5.0,233.5,DEN,PHO,A,SG,Cam Johnson,
2025-11-29,9:00 PM ET,DEN,PHO,DEN,5.0,233.5,PHO,DEN,H,SG,Grayson Allen,Q
2025-11-29,9:00 PM ET,DEN,PHO,DEN,5.0,233.5,DEN,PHO,A,SF,Peyton Watson,
2025-11-29,9:00 PM ET,DEN,PHO,DEN,5.0,233.5,PHO,DEN,H,SF,Dillon Brooks,
2025-11-29,9:00 PM ET,DEN,PHO,DEN,5.0,233.5,DEN,PHO,A,PF,Spencer Jones,
2025-11-29,9:00 PM ET,DEN,PHO,DEN,5.0,233.5,PHO,DEN,H,PF,Royce O'Neale,
2025-11-29,9:00 PM ET,DEN,PHO,DEN,5.0,233.5,DEN,PHO,A,C,Nikola Jokic,
2025-11-29,9:00 PM ET,DEN,PHO,DEN,5.0,233.5,PHO,DEN,H,C,Nick Richards,
2025-11-29,10:00 PM ET,DAL,LAC,LAC,7.0,219.5,DAL,LAC,A,PG,Ryan Nembhard,
2025-11-29,10:00 PM ET,DAL,LAC,LAC,7.0,219.5,LAC,DAL,H,PG,James Harden,
